id,product_nk,style_name,category,gender,material_family,unit_weight_kg,list_price,recycled_content_pct,circularity_score,take_back_eligible,valid_from,valid_to,is_current
48,16,environment,FORMAL,WOMENS,Hemp Canvas,1.56,122.21,4.9,38,TRUE,2024-12-31,9999-12-31,TRUE
49,17,although,SLIPPER,WOMENS,Chrome-free Leather,0.94,196.1,24.99,59,TRUE,2023-01-01,2024-01-01,FALSE
50,17,some,SANDAL,WOMENS,Recycled PET,1.34,85.68,19.81,51,TRUE,2024-01-01,2024-12-31,FALSE
51,17,radio,BOOT,MENS,Algae Foam,0.71,209.68,2.18,8,TRUE,2024-12-31,9999-12-31,TRUE
52,18,cut,BOOT,UNISEX,Organic Cotton,1.42,208.87,12.25,59,TRUE,2023-01-01,2024-01-01,FALSE
53,18,feeling,FORMAL,MENS,Hemp Canvas,1.0,119.37,42.67,45,TRUE,2024-01-01,2024-12-31,FALSE
54,18,heavy,SNEAKER,WOMENS,Recycled Nylon,0.44,169.03,24.58,37,TRUE,2024-12-31,9999-12-31,TRUE
55,19,training,FORMAL,MENS,Organic Cotton,0.86,127.04,64.27,67,TRUE,2023-01-01,2024-01-01,FALSE
56,19,statement,SLIPPER,MENS,Recycled PET,0.86,188.81,47.97,100,TRUE,2024-01-01,2024-12-31,FALSE
57,19,anyone,FORMAL,MENS,Chrome-free Leather,0.62,105.96,21.9,99,TRUE,2024-12-31,9999-12-31,TRUE
58,20,tree,SANDAL,MENS,Chrome-free Leather,1.1,87.88,15.96,31,FALSE,2023-01-01,2024-01-01,FALSE
59,20,reality,SNEAKER,UNISEX,Apple Leather,0.47,248.24,21.94,49,TRUE,2024-01-01,2024-12-31,FALSE
60,20,glass,SANDAL,UNISEX,Natural Rubber,1.11,208.3,69.76,75,TRUE,2024-12-31,9999-12-31,TRUE
61,21,explain,SANDAL,KIDS,Algae Foam,1.08,78.53,98.8,63,FALSE,2023-01-01,2024-01-01,FALSE
62,21,capital,SNEAKER,WOMENS,Recycled PET,1.12,43.18,47.8,42,FALSE,2024-01-01,2024-12-31,FALSE
63,21,successful,SNEAKER,WOMENS,Hemp Canvas,1.5,216.3,32.36,2,TRUE,2024-12-31,9999-12-31,TRUE
64,22,hold,SANDAL,WOMENS,Organic Cotton,1.03,115.63,7.25,90,FALSE,2023-01-01,2024-01-01,FALSE
65,22,leave,RUNNING,WOMENS,Bio-EVA,0.56,72.08,94.87,81,FALSE,2024-01-01,2024-12-31,FALSE
66,22,visit,BOOT,WOMENS,Apple Leather,1.23,234.06,78.7,28,FALSE,2024-12-31,9999-12-31,TRUE
67,23,instead,SANDAL,MENS,Hemp Canvas,0.75,76.32,0.18,89,FALSE,2023-01-01,2024-01-01,FALSE
68,23,six,RUNNING,KIDS,Apple Leather,0.44,165.5,92.1,78,TRUE,2024-01-01,2024-12-31,FALSE
69,23,less,BOOT,KIDS,Organic Cotton,1.29,88.98,98.24,21,FALSE,2024-12-31,9999-12-31,TRUE
70,24,want,SLIPPER,UNISEX,Hemp Canvas,1.28,109.51,1.14,26,TRUE,2023-01-01,2024-01-01,FALSE
71,24,imagine,SNEAKER,WOMENS,Organic Cotton,0.4,120.05,73.26,21,FALSE,2024-01-01,2024-12-31,FALSE
72,24,group,RUNNING,MENS,Algae Foam,0.52,139.69,86.41,83,FALSE,2024-12-31,9999-12-31,TRUE
73,25,culture,SNEAKER,MENS,TENCEL Lyocell,0.44,43.22,26.11,13,TRUE,2023-01-01,2024-01-01,FALSE
74,25,model,SNEAKER,MENS,Hemp Canvas,1.06,227.61,9.31,76,FALSE,2024-01-01,2024-12-31,FALSE
75,25,role,FORMAL,MENS,Cork,1.18,166.54,43.42,6,TRUE,2024-12-31,9999-12-31,TRUE
76,26,modern,SNEAKER,WOMENS,Hemp Canvas,1.27,192.29,26.53,36,TRUE,2023-01-01,2024-01-01,FALSE
77,26,hold,SNEAKER,MENS,Algae Foam,0.99,50.45,0.38,11,TRUE,2024-01-01,2024-12-31,FALSE
78,26,window,BOOT,MENS,Natural Rubber,0.43,74.87,29.18,10,TRUE,2024-12-31,9999-12-31,TRUE
79,27,subject,SNEAKER,UNISEX,Cork,1.47,94.65,64.19,49,TRUE,2023-01-01,2024-01-01,FALSE
80,27,natural,FORMAL,MENS,Cork,0.72,136.66,22.62,34,FALSE,2024-01-01,2024-12-31,FALSE
81,27,example,SNEAKER,MENS,Organic Cotton,1.2,208.72,41.4,96,FALSE,2024-12-31,9999-12-31,TRUE
82,28,suddenly,BOOT,UNISEX,TENCEL Lyocell,0.9,151.46,86.69,60,FALSE,2023-01-01,2024-01-01,FALSE
83,28,beautiful,SNEAKER,WOMENS,Chrome-free Leather,1.42,46.29,57.12,66,FALSE,2024-01-01,2024-12-31,FALSE
84,28,short,BOOT,MENS,Organic Cotton,1.31,75.3,98.44,27,FALSE,2024-12-31,9999-12-31,TRUE
85,29,language,SNEAKER,MENS,Apple Leather,0.92,248.43,62.72,76,TRUE,2023-01-01,2024-01-01,FALSE
86,29,bar,FORMAL,KIDS,Recycled PET,0.87,122.44,32.61,35,FALSE,2024-01-01,2024-12-31,FALSE
87,29,law,FORMAL,WOMENS,Hemp Canvas,1.11,203.15,11.25,19,TRUE,2024-12-31,9999-12-31,TRUE
88,30,play,BOOT,UNISEX,Apple Leather,1.51,157.16,10.1,36,FALSE,2023-01-01,2024-01-01,FALSE
89,30,test,FORMAL,UNISEX,Bio-EVA,1.19,159.12,47.3,22,TRUE,2024-01-01,2024-12-31,FALSE
90,30,couple,SNEAKER,MENS,Hemp Canvas,0.45,225.81,33.15,30,TRUE,2024-12-31,9999-12-31,TRUE
91,31,offer,RUNNING,WOMENS,Chrome-free Leather,0.81,205.67,31.09,62,FALSE,2023-01-01,2024-01-01,FALSE
92,31,finally,BOOT,KIDS,Natural Rubber,0.76,195.18,77.4,41,TRUE,2024-01-01,2024-12-31,FALSE
93,31,full,RUNNING,MENS,Natural Rubber,0.65,212.03,74.09,97,FALSE,2024-12-31,9999-12-31,TRUE
94,32,board,RUNNING,WOMENS,TENCEL Lyocell,0.48,188.01,40.34,99,FALSE,2023-01-01,2024-01-01,FALSE
95,32,base,FORMAL,WOMENS,Natural Rubber,1.4,214.77,24.95,58,TRUE,2024-01-01,2024-12-31,FALSE
96,32,generation,RUNNING,WOMENS,Chrome-free Leather,0.96,122.36,92.31,87,TRUE,2024-12-31,9999-12-31,TRUE
97,33,recent,RUNNING,MENS,Natural Rubber,1.44,162.24,34.98,20,FALSE,2023-01-01,2024-01-01,FALSE
98,33,find,SNEAKER,UNISEX,Organic Cotton,0.43,49.43,85.38,99,FALSE,2024-01-01,2024-12-31,FALSE
99,33,follow,FORMAL,MENS,Hemp Canvas,0.72,125.0,2.01,99,FALSE,2024-12-31,9999-12-31,TRUE
100,34,like,BOOT,MENS,Organic Cotton,0.61,207.18,22.38,77,FALSE,2023-01-01,2024-01-01,FALSE
101,34,player,RUNNING,KIDS,Recycled Rubber,0.91,118.06,34.87,32,TRUE,2024-01-01,2024-12-31,FALSE
102,34,series,RUNNING,MENS,Recycled Rubber,1.1,40.54,99.94,47,FALSE,2024-12-31,9999-12-31,TRUE
103,35,last,BOOT,WOMENS,Hemp Canvas,0.98,109.62,27.65,41,FALSE,2023-01-01,2024-01-01,FALSE
104,35,compare,SNEAKER,MENS,Recycled Nylon,0.76,70.49,76.55,7,FALSE,2024-01-01,2024-12-31,FALSE
105,35,road,SANDAL,MENS,Recycled Rubber,1.22,190.47,65.54,37,TRUE,2024-12-31,9999-12-31,TRUE
106,36,life,RUNNING,MENS,Recycled PET,1.25,159.13,18.99,92,FALSE,2023-01-01,2024-01-01,FALSE
107,36,have,BOOT,MENS,Cork,1.53,114.28,30.02,21,FALSE,2024-01-01,2024-12-31,FALSE
108,36,likely,FORMAL,WOMENS,Organic Cotton,0.55,93.32,80.83,97,FALSE,2024-12-31,9999-12-31,TRUE
109,37,and,FORMAL,UNISEX,Recycled Rubber,0.67,85.9,87.14,53,FALSE,2023-01-01,2024-01-01,FALSE
110,37,short,RUNNING,WOMENS,Bio-EVA,1.42,137.81,86.64,74,FALSE,2024-01-01,2024-12-31,FALSE
111,37,true,BOOT,MENS,Natural Rubber,0.54,181.95,52.98,52,TRUE,2024-12-31,9999-12-31,TRUE
112,38,which,FORMAL,WOMENS,Natural Rubber,0.89,158.57,90.66,58,TRUE,2023-01-01,2024-01-01,FALSE
113,38,head,FORMAL,WOMENS,Recycled PET,0.8,246.19,31.34,7,TRUE,2024-01-01,2024-12-31,FALSE
114,38,possible,SNEAKER,UNISEX,Natural Rubber,1.32,141.81,76.36,11,TRUE,2024-12-31,9999-12-31,TRUE
115,39,learn,RUNNING,MENS,Cork,0.97,39.98,53.38,93,TRUE,2023-01-01,2024-01-01,FALSE
116,39,face,SNEAKER,WOMENS,TENCEL Lyocell,0.63,181.12,62.67,31,TRUE,2024-01-01,2024-12-31,FALSE
117,39,purpose,FORMAL,WOMENS,Organic Cotton,1.0,103.28,6.53,5,TRUE,2024-12-31,9999-12-31,TRUE
118,40,strong,SNEAKER,UNISEX,Recycled Rubber,0.81,225.47,99.55,43,FALSE,2023-01-01,2024-01-01,FALSE
119,40,yourself,RUNNING,UNISEX,Organic Cotton,1.49,209.52,1.91,28,FALSE,2024-01-01,2024-12-31,FALSE
120,40,art,SNEAKER,UNISEX,Recycled Rubber,0.6,115.98,65.05,4,TRUE,2024-12-31,9999-12-31,TRUE
121,41,bad,BOOT,UNISEX,Recycled Rubber,1.11,49.07,10.81,2,TRUE,2023-01-01,2024-01-01,FALSE
122,41,remain,SNEAKER,MENS,Organic Cotton,0.7,186.39,20.55,87,FALSE,2024-01-01,2024-12-31,FALSE
123,41,public,RUNNING,MENS,Recycled Rubber,0.72,166.18,13.72,13,FALSE,2024-12-31,9999-12-31,TRUE
124,42,into,BOOT,WOMENS,TENCEL Lyocell,1.0,166.89,77.8,66,FALSE,2023-01-01,2024-01-01,FALSE
125,42,himself,RUNNING,MENS,Organic Cotton,1.06,230.17,68.82,61,TRUE,2024-01-01,2024-12-31,FALSE
126,42,must,SNEAKER,MENS,Recycled Nylon,1.4,179.49,14.91,11,FALSE,2024-12-31,9999-12-31,TRUE
127,43,suddenly,SNEAKER,MENS,Recycled Nylon,1.17,134.92,97.73,33,TRUE,2023-01-01,2024-01-01,FALSE
128,43,so,SNEAKER,WOMENS,Recycled PET,0.75,207.34,31.27,94,TRUE,2024-01-01,2024-12-31,FALSE
129,43,respond,FORMAL,UNISEX,Recycled PET,0.57,174.91,32.87,56,FALSE,2024-12-31,9999-12-31,TRUE
130,44,collection,SNEAKER,UNISEX,Chrome-free Leather,0.81,62.9,40.03,58,TRUE,2023-01-01,2024-01-01,FALSE
131,44,allow,RUNNING,UNISEX,TENCEL Lyocell,1.18,206.35,11.31,89,FALSE,2024-01-01,2024-12-31,FALSE
132,44,character,SLIPPER,UNISEX,Organic Cotton,1.49,140.36,56.89,56,TRUE,2024-12-31,9999-12-31,TRUE
133,45,time,RUNNING,WOMENS,Recycled PET,1.22,215.09,97.34,16,TRUE,2023-01-01,2024-01-01,FALSE
134,45,political,RUNNING,UNISEX,Cork,0.48,176.54,1.24,86,FALSE,2024-01-01,2024-12-31,FALSE
135,45,resource,SANDAL,MENS,Natural Rubber,1.55,222.36,51.91,88,FALSE,2024-12-31,9999-12-31,TRUE
136,46,station,SNEAKER,MENS,Natural Rubber,0.81,181.02,38.49,71,FALSE,2023-01-01,2024-01-01,FALSE
137,46,left,BOOT,WOMENS,Apple Leather,1.01,137.55,49.58,21,TRUE,2024-01-01,2024-12-31,FALSE
138,46,already,RUNNING,WOMENS,Apple Leather,0.46,85.77,64.33,51,FALSE,2024-12-31,9999-12-31,TRUE
139,47,card,SNEAKER,MENS,Algae Foam,0.51,143.68,31.61,63,FALSE,2023-01-01,2024-01-01,FALSE
140,47,audience,SNEAKER,MENS,Recycled PET,1.06,212.44,79.18,79,FALSE,2024-01-01,2024-12-31,FALSE
141,47,eat,FORMAL,MENS,Recycled Rubber,0.95,110.58,82.53,28,FALSE,2024-12-31,9999-12-31,TRUE
142,48,start,RUNNING,UNISEX,Recycled Rubber,1.26,115.29,45.25,12,FALSE,2023-01-01,2024-01-01,FALSE
143,48,quite,SNEAKER,WOMENS,TENCEL Lyocell,1.56,100.32,52.2,89,TRUE,2024-01-01,2024-12-31,FALSE
144,48,hit,FORMAL,MENS,TENCEL Lyocell,1.29,124.93,25.43,25,TRUE,2024-12-31,9999-12-31,TRUE
145,49,high,FORMAL,MENS,Cork,1.34,189.53,10.78,53,TRUE,2023-01-01,2024-01-01,FALSE
146,49,identify,BOOT,MENS,Organic Cotton,1.47,135.05,58.93,64,TRUE,2024-01-01,2024-12-31,FALSE
147,49,our,RUNNING,MENS,Recycled PET,1.52,215.15,48.29,65,FALSE,2024-12-31,9999-12-31,TRUE
148,50,alone,FORMAL,MENS,Natural Rubber,1.38,60.75,65.75,77,FALSE,2023-01-01,2024-01-01,FALSE
149,50,point,RUNNING,MENS,Apple Leather,1.5,199.1,27.36,43,FALSE,2024-01-01,2024-12-31,FALSE
150,50,class,RUNNING,WOMENS,Chrome-free Leather,1.24,196.17,29.89,89,FALSE,2024-12-31,9999-12-31,TRUE
151,51,respond,RUNNING,UNISEX,Algae Foam,0.66,83.04,71.44,87,TRUE,2023-01-01,2024-01-01,FALSE
152,51,listen,BOOT,KIDS,Recycled Rubber,1.55,144.82,69.43,41,FALSE,2024-01-01,2024-12-31,FALSE
153,51,hospital,SANDAL,MENS,Algae Foam,1.53,188.13,67.42,68,TRUE,2024-12-31,9999-12-31,TRUE
154,52,hot,SANDAL,UNISEX,Algae Foam,0.43,69.52,67.03,25,TRUE,2023-01-01,2024-01-01,FALSE
155,52,life,SANDAL,KIDS,Hemp Canvas,0.58,52.03,78.44,26,FALSE,2024-01-01,2024-12-31,FALSE
156,52,source,SNEAKER,UNISEX,Organic Cotton,1.44,194.29,86.48,95,FALSE,2024-12-31,9999-12-31,TRUE
157,53,ball,RUNNING,MENS,TENCEL Lyocell,1.24,184.52,4.7,48,TRUE,2023-01-01,2024-01-01,FALSE
158,53,painting,SLIPPER,KIDS,Bio-EVA,1.06,41.72,25.13,79,FALSE,2024-01-01,2024-12-31,FALSE
159,53,certain,FORMAL,MENS,Natural Rubber,1.16,188.0,36.77,75,FALSE,2024-12-31,9999-12-31,TRUE
160,54,next,BOOT,UNISEX,Apple Leather,0.75,76.26,68.27,23,FALSE,2023-01-01,2024-01-01,FALSE
161,54,hit,SANDAL,WOMENS,Recycled PET,0.73,94.49,16.09,32,TRUE,2024-01-01,2024-12-31,FALSE
162,54,information,RUNNING,KIDS,Recycled PET,1.51,164.34,77.37,80,FALSE,2024-12-31,9999-12-31,TRUE
163,55,former,BOOT,MENS,Algae Foam,0.83,203.65,31.79,28,FALSE,2023-01-01,2024-01-01,FALSE
164,55,rate,RUNNING,UNISEX,Organic Cotton,1.05,123.72,34.94,27,FALSE,2024-01-01,2024-12-31,FALSE
165,55,family,RUNNING,WOMENS,Apple Leather,1.14,138.72,56.13,96,FALSE,2024-12-31,9999-12-31,TRUE
166,56,enjoy,SNEAKER,MENS,Cork,1.49,167.88,62.11,5,FALSE,2023-01-01,2024-01-01,FALSE
167,56,build,RUNNING,KIDS,Apple Leather,0.86,152.45,28.28,66,FALSE,2024-01-01,2024-12-31,FALSE
168,56,agree,RUNNING,UNISEX,Cork,0.45,227.64,19.25,65,TRUE,2024-12-31,9999-12-31,TRUE
169,57,simply,SNEAKER,KIDS,TENCEL Lyocell,1.04,170.66,21.08,80,FALSE,2023-01-01,2024-01-01,FALSE
170,57,cultural,FORMAL,MENS,Organic Cotton,1.05,186.58,97.62,99,TRUE,2024-01-01,2024-12-31,FALSE
171,57,money,SANDAL,WOMENS,Hemp Canvas,0.43,189.54,3.79,9,TRUE,2024-12-31,9999-12-31,TRUE
172,58,national,SANDAL,MENS,Algae Foam,0.67,93.32,38.8,80,TRUE,2023-01-01,2024-01-01,FALSE
173,58,impact,RUNNING,MENS,Organic Cotton,0.41,190.26,6.32,95,FALSE,2024-01-01,2024-12-31,FALSE
174,58,white,SANDAL,WOMENS,Apple Leather,0.53,204.25,30.14,11,TRUE,2024-12-31,9999-12-31,TRUE
175,59,or,FORMAL,MENS,TENCEL Lyocell,0.44,71.83,21.99,95,TRUE,2023-01-01,2024-01-01,FALSE
176,59,buy,SANDAL,MENS,Apple Leather,0.57,181.23,91.42,93,FALSE,2024-01-01,2024-12-31,FALSE
177,59,everybody,SLIPPER,WOMENS,Recycled Nylon,0.57,47.77,57.27,50,FALSE,2024-12-31,9999-12-31,TRUE
178,60,stage,FORMAL,WOMENS,Hemp Canvas,1.48,111.21,41.27,82,FALSE,2023-01-01,2024-01-01,FALSE
179,60,ever,SNEAKER,WOMENS,Recycled Rubber,0.7,63.07,67.1,72,FALSE,2024-01-01,2024-12-31,FALSE
180,60,score,FORMAL,KIDS,Apple Leather,0.95,154.43,29.07,8,TRUE,2024-12-31,9999-12-31,TRUE
181,61,like,SNEAKER,MENS,Apple Leather,0.83,179.97,23.45,36,FALSE,2023-01-01,2024-01-01,FALSE
182,61,difficult,FORMAL,WOMENS,Cork,1.14,103.19,58.42,72,FALSE,2024-01-01,2024-12-31,FALSE
183,61,population,SANDAL,KIDS,Natural Rubber,0.78,203.99,71.22,82,TRUE,2024-12-31,9999-12-31,TRUE
184,62,feeling,SANDAL,WOMENS,Hemp Canvas,1.45,136.2,35.87,39,TRUE,2023-01-01,2024-01-01,FALSE
185,62,rule,SNEAKER,MENS,Recycled PET,0.74,212.55,89.13,25,TRUE,2024-01-01,2024-12-31,FALSE
186,62,whom,FORMAL,WOMENS,Recycled PET,0.42,145.51,3.12,74,FALSE,2024-12-31,9999-12-31,TRUE
187,63,military,SANDAL,WOMENS,Recycled PET,0.71,226.74,53.97,83,FALSE,2023-01-01,2024-01-01,FALSE
188,63,decision,RUNNING,WOMENS,TENCEL Lyocell,1.28,100.11,46.47,65,TRUE,2024-01-01,2024-12-31,FALSE
189,63,can,RUNNING,WOMENS,Natural Rubber,1.56,245.19,68.42,96,FALSE,2024-12-31,9999-12-31,TRUE
190,64,central,RUNNING,WOMENS,Apple Leather,1.19,242.22,73.59,61,FALSE,2023-01-01,2024-01-01,FALSE
191,64,tonight,SNEAKER,UNISEX,Natural Rubber,0.72,88.14,66.86,66,FALSE,2024-01-01,2024-12-31,FALSE
192,64,back,RUNNING,MENS,Cork,0.46,244.92,32.41,90,FALSE,2024-12-31,9999-12-31,TRUE
193,65,live,BOOT,WOMENS,Hemp Canvas,1.09,158.73,37.67,48,TRUE,2023-01-01,2024-01-01,FALSE
194,65,consider,BOOT,UNISEX,Algae Foam,0.85,229.52,51.64,45,FALSE,2024-01-01,2024-12-31,FALSE
195,65,way,RUNNING,UNISEX,Recycled Nylon,0.41,224.23,43.99,29,TRUE,2024-12-31,9999-12-31,TRUE
196,66,sell,BOOT,WOMENS,Natural Rubber,0.83,189.63,11.83,29,TRUE,2023-01-01,2024-01-01,FALSE
197,66,light,RUNNING,WOMENS,Hemp Canvas,0.97,163.07,64.73,52,TRUE,2024-01-01,2024-12-31,FALSE
198,66,begin,SNEAKER,MENS,Organic Cotton,1.16,47.23,57.23,7,TRUE,2024-12-31,9999-12-31,TRUE
199,67,take,FORMAL,MENS,Chrome-free Leather,1.56,172.9,87.85,93,FALSE,2023-01-01,2024-01-01,FALSE
200,67,rest,SNEAKER,WOMENS,Cork,1.59,221.13,17.06,52,FALSE,2024-01-01,2024-12-31,FALSE
201,67,through,SANDAL,UNISEX,Natural Rubber,1.19,94.55,72.42,43,FALSE,2024-12-31,9999-12-31,TRUE
202,68,front,BOOT,WOMENS,Chrome-free Leather,0.56,42.48,52.27,64,FALSE,2023-01-01,2024-01-01,FALSE
203,68,region,SANDAL,MENS,Natural Rubber,1.48,164.96,87.78,68,FALSE,2024-01-01,2024-12-31,FALSE
204,68,hand,SNEAKER,MENS,Organic Cotton,1.12,212.78,89.7,99,FALSE,2024-12-31,9999-12-31,TRUE
205,69,security,RUNNING,MENS,Recycled Nylon,1.24,129.08,93.84,61,FALSE,2023-01-01,2024-01-01,FALSE
206,69,attention,RUNNING,MENS,Hemp Canvas,1.31,185.31,9.77,17,TRUE,2024-01-01,2024-12-31,FALSE
207,69,oil,SANDAL,KIDS,Organic Cotton,1.12,153.18,25.78,0,FALSE,2024-12-31,9999-12-31,TRUE
208,70,occur,SANDAL,MENS,Organic Cotton,0.41,176.45,68.78,40,TRUE,2023-01-01,2024-01-01,FALSE
209,70,fill,SNEAKER,MENS,Recycled Rubber,0.71,151.58,56.47,78,TRUE,2024-01-01,2024-12-31,FALSE
210,70,vote,BOOT,UNISEX,Chrome-free Leather,1.34,140.32,37.02,71,TRUE,2024-12-31,9999-12-31,TRUE
211,71,first,SLIPPER,MENS,TENCEL Lyocell,0.88,67.99,86.38,15,FALSE,2023-01-01,2024-01-01,FALSE
212,71,today,RUNNING,MENS,Organic Cotton,0.66,123.12,33.84,70,FALSE,2024-01-01,2024-12-31,FALSE
213,71,coach,BOOT,WOMENS,Chrome-free Leather,1.16,207.92,82.33,60,FALSE,2024-12-31,9999-12-31,TRUE
214,72,seek,RUNNING,WOMENS,Natural Rubber,0.5,46.93,38.43,51,FALSE,2023-01-01,2024-01-01,FALSE
215,72,security,RUNNING,MENS,Recycled Rubber,1.53,211.25,64.03,56,TRUE,2024-01-01,2024-12-31,FALSE
216,72,within,FORMAL,KIDS,Algae Foam,0.63,203.63,51.05,89,TRUE,2024-12-31,9999-12-31,TRUE
