order_line_id,dim_date_id,dim_customer_id,dim_product_id,dim_supplier_id,dim_factory_id,dim_ship_mode_id,order_ts,channel,quantity,unit_price,discount,line_revenue,embodied_co2e_kg_per_unit,transport_co2e_kg_per_unit,packaging_waste_kg_per_unit,manufacturing_waste_kg_per_unit,line_co2e_kg,line_waste_kg,co2e_per_revenue_dollar,offset_purchased,return_flag
57,307,3369,288,207,15,2,2025-11-03 16:43:43,RETAIL,4,82.6,0.19,267.62,5.2234,0.059,0.04,0.48,21.13,2.08,0.079,TRUE,NONE
58,137,3452,1242,15,40,3,2025-05-17 17:53:51,APP,3,208.92,0.1,564.08,13.0131,0.8844,0.09,0.25,41.692,1.02,0.0739,TRUE,EXCHANGED
59,343,2103,2307,333,22,3,2025-12-09 20:14:35,WEB,1,176.08,0.13,153.19,1.1441,1.2012,0.02,0.06,2.345,0.08,0.0153,TRUE,NONE
60,260,2087,2082,84,35,1,2025-09-17 05:28:21,MARKETPLACE,2,211.79,0.12,372.75,11.1806,14.238,0.08,0.23,50.837,0.62,0.1364,FALSE,NONE
61,307,315,327,309,11,2,2025-11-03 09:19:08,WEB,3,66.94,0.11,178.73,9.0679,0.1282,0.04,0.2,27.588,0.72,0.1544,TRUE,NONE
62,543,1192,1896,219,34,4,2026-06-27 04:19:45,WHOLESALE,1,175.85,0.06,165.3,13.0125,0.5242,0.24,0.35,13.537,0.59,0.0819,FALSE,RETURNED
63,232,1959,1347,225,40,3,2025-08-20 13:13:56,MARKETPLACE,1,58.67,0.09,53.39,6.5965,1.3728,0.24,0.07,7.969,0.31,0.1493,FALSE,NONE
64,199,4713,1491,30,27,3,2025-07-18 13:58:12,WEB,2,55.34,0.11,98.51,13.2364,1.6764,0.25,0.53,29.826,1.56,0.3028,FALSE,NONE
65,174,1152,870,132,28,3,2025-06-23 04:22:18,RETAIL,3,98.1,0.26,217.78,3.6514,0.7788,0.02,0.46,13.291,1.44,0.061,FALSE,RETURNED
66,451,3728,711,225,17,3,2026-03-27 13:44:30,RETAIL,1,222.26,0.33,148.91,6.5664,1.6764,0.18,0.32,8.243,0.5,0.0554,FALSE,RETURNED
67,30,2736,870,174,17,2,2025-01-30 17:01:44,WEB,4,65.33,0.34,172.47,10.7798,0.085,0.19,0.02,43.459,0.84,0.252,FALSE,NONE
68,453,4152,1164,366,30,3,2026-03-29 21:11:07,MARKETPLACE,2,194.18,0.09,353.41,5.6818,0.99,0.16,0.31,13.344,0.94,0.0378,FALSE,NONE
69,248,1136,1068,27,23,6,2025-09-05 06:43:20,MARKETPLACE,3,126.71,0.12,334.51,4.8606,0.0,0.02,0.38,14.582,1.2,0.0436,TRUE,NONE
70,50,4849,1863,114,29,2,2025-02-19 10:12:21,WEB,1,87.73,0.11,78.08,6.3507,0.1728,0.24,0.37,6.523,0.61,0.0835,TRUE,RETURNED
71,489,4482,69,354,21,3,2026-05-04 23:36:40,RETAIL,1,161.74,0.06,152.04,20.9477,1.7028,0.04,0.23,22.65,0.27,0.149,FALSE,EXCHANGED
72,471,1991,63,438,22,6,2026-04-16 00:55:09,WEB,1,217.32,0.08,199.93,3.7735,0.0,0.16,0.57,3.774,0.73,0.0189,FALSE,NONE
73,262,1165,105,171,24,6,2025-09-19 16:10:09,APP,3,236.26,0.25,531.59,6.5122,0.0,0.13,0.37,19.537,1.5,0.0368,TRUE,RETURNED
74,306,4476,900,429,15,5,2025-11-02 10:41:13,WEB,3,82.58,0.01,245.26,5.5087,0.0028,0.14,0.31,16.534,1.35,0.0674,FALSE,NONE
75,312,1531,2169,438,1,6,2025-11-08 09:17:15,MARKETPLACE,3,140.28,0.25,315.63,8.3705,0.0,0.12,0.14,25.112,0.78,0.0796,FALSE,NONE
76,170,2961,2142,150,26,6,2025-06-19 02:26:49,RETAIL,1,213.84,0.26,158.24,5.9359,0.0,0.17,0.41,5.936,0.58,0.0375,TRUE,NONE
77,13,1283,1833,51,35,6,2025-01-13 19:45:59,APP,3,148.29,0.29,315.86,1.8947,0.0,0.22,0.41,5.684,1.89,0.018,TRUE,NONE
78,48,374,1035,207,38,1,2025-02-17 21:30:20,MARKETPLACE,3,82.71,0.01,245.65,7.7547,17.388,0.14,0.3,75.428,1.32,0.3071,TRUE,NONE
79,507,1221,1221,324,17,3,2026-05-22 09:08:50,WEB,4,88.46,0.04,339.69,5.6659,0.7788,0.17,0.45,25.779,2.48,0.0759,TRUE,NONE
80,306,1605,1629,252,12,5,2025-11-02 22:11:12,RETAIL,1,193.34,0.22,150.81,7.3138,0.0009,0.22,0.07,7.315,0.29,0.0485,FALSE,EXCHANGED
81,157,3444,1125,249,5,1,2025-06-06 00:08:35,APP,2,111.78,0.16,187.79,8.6707,17.262,0.18,0.03,51.865,0.42,0.2762,TRUE,EXCHANGED
82,303,94,24,39,25,1,2025-10-30 23:24:05,APP,2,76.48,0.12,134.6,13.9253,10.836,0.02,0.57,49.523,1.18,0.3679,TRUE,RETURNED
83,113,3093,1098,108,3,5,2025-04-23 16:43:54,APP,3,70.16,0.3,147.34,4.8003,0.0019,0.04,0.1,14.407,0.42,0.0978,FALSE,NONE
84,553,2301,1944,60,3,4,2026-07-07 06:07:14,WEB,4,51.87,0.16,174.28,7.9306,0.4637,0.12,0.33,33.577,1.8,0.1927,FALSE,NONE
85,92,4452,483,21,4,4,2025-04-02 17:55:14,WEB,1,144.79,0.09,131.76,9.6177,0.4066,0.14,0.05,10.024,0.19,0.0761,TRUE,NONE
86,42,2825,1602,141,30,6,2025-02-11 19:13:11,MARKETPLACE,4,194.44,0.19,629.99,26.8976,0.0,0.12,0.03,107.59,0.6,0.1708,TRUE,RETURNED
87,279,3778,1314,327,38,6,2025-10-06 14:42:30,MARKETPLACE,4,234.65,0.34,619.48,25.1942,0.0,0.15,0.38,100.777,2.12,0.1627,FALSE,RETURNED
88,528,3958,2169,147,35,6,2026-06-12 06:10:20,MARKETPLACE,3,73.07,0.27,160.02,4.7676,0.0,0.21,0.13,14.303,1.02,0.0894,FALSE,NONE
89,60,1427,108,405,30,1,2025-03-01 23:29:38,WEB,2,121.46,0.27,177.33,5.9551,6.93,0.09,0.49,25.77,1.16,0.1453,FALSE,NONE
90,303,733,1740,108,34,2,2025-10-30 00:31:04,WEB,1,137.93,0.29,97.93,11.7652,0.0691,0.02,0.51,11.834,0.53,0.1208,TRUE,NONE
91,202,1436,1593,117,16,1,2025-07-21 03:40:34,APP,1,203.38,0.26,150.5,5.8997,16.254,0.21,0.39,22.154,0.6,0.1472,FALSE,NONE
92,44,3517,324,57,11,3,2025-02-13 20:58:58,APP,3,102.96,0.31,213.13,1.3721,1.5708,0.17,0.47,8.829,1.92,0.0414,FALSE,NONE
93,346,1094,1824,57,26,5,2025-12-12 21:36:43,WEB,1,241.56,0.3,169.09,17.815,0.0013,0.23,0.59,17.816,0.82,0.1054,FALSE,NONE
94,397,1248,1716,249,13,6,2026-02-01 10:52:27,APP,1,41.62,0.27,30.38,14.8395,0.0,0.14,0.27,14.84,0.41,0.4885,TRUE,RETURNED
95,360,827,1194,243,16,3,2025-12-26 02:16:47,MARKETPLACE,3,128.82,0.2,309.17,5.1614,0.6468,0.24,0.22,17.425,1.38,0.0564,TRUE,NONE
96,554,4411,2388,429,37,6,2026-07-08 06:17:44,RETAIL,4,209.36,0.08,770.44,5.9824,0.0,0.1,0.54,23.93,2.56,0.0311,TRUE,NONE
97,504,3936,126,54,17,6,2026-05-19 07:07:01,RETAIL,3,188.62,0.34,373.47,10.3505,0.0,0.2,0.22,31.052,1.26,0.0831,FALSE,NONE
98,44,1823,579,117,4,6,2025-02-13 02:05:29,WEB,4,70.7,0.25,212.1,8.8787,0.0,0.1,0.58,35.515,2.72,0.1674,FALSE,NONE
99,234,1886,2070,399,19,1,2025-08-22 08:58:46,APP,1,130.23,0.19,105.49,21.6545,8.316,0.18,0.44,29.97,0.62,0.2841,TRUE,NONE
100,390,219,2361,276,4,3,2026-01-25 11:19:24,WHOLESALE,2,94.24,0.07,175.29,12.5457,0.6864,0.07,0.27,26.464,0.68,0.151,TRUE,EXCHANGED
101,84,4086,1815,318,16,3,2025-03-25 23:01:18,APP,3,228.44,0.09,623.64,13.1393,0.924,0.04,0.48,42.19,1.56,0.0677,TRUE,NONE
102,71,3335,1173,258,20,2,2025-03-12 05:17:19,APP,2,68.41,0.18,112.19,10.0716,0.1152,0.02,0.44,20.374,0.92,0.1816,FALSE,NONE
103,159,854,1725,345,11,5,2025-06-08 19:48:54,RETAIL,1,155.86,0.12,137.16,10.0917,0.002,0.04,0.3,10.094,0.34,0.0736,TRUE,NONE
104,509,2766,2136,51,9,6,2026-05-24 00:06:47,RETAIL,4,121.6,0.14,418.3,4.9156,0.0,0.04,0.28,19.662,1.28,0.047,FALSE,NONE
105,283,3485,1398,369,12,2,2025-10-10 16:26:22,WEB,4,147.37,0.12,518.74,20.483,0.1224,0.05,0.3,82.422,1.4,0.1589,TRUE,NONE
106,152,1177,2268,153,21,3,2025-06-01 18:43:53,APP,1,188.46,0.29,133.81,2.8902,1.4124,0.2,0.27,4.303,0.47,0.0322,FALSE,NONE
107,535,3971,1704,216,20,5,2026-06-19 06:00:57,APP,3,63.16,0.19,153.48,4.7006,0.0022,0.11,0.31,14.108,1.26,0.0919,FALSE,NONE
108,371,4430,723,327,9,3,2026-01-06 01:05:52,APP,3,212.48,0.28,458.96,15.8496,1.32,0.22,0.4,51.509,1.86,0.1122,FALSE,RETURNED
109,491,884,1998,219,23,3,2026-05-06 17:27:24,APP,3,59.73,0.23,137.98,38.4065,1.1616,0.17,0.19,118.704,1.08,0.8603,FALSE,RETURNED
110,522,1388,2364,261,16,3,2026-06-06 01:05:29,APP,3,156.61,0.31,324.18,3.0363,0.9372,0.12,0.06,11.92,0.54,0.0368,FALSE,EXCHANGED
111,491,2636,1578,333,33,3,2026-05-06 02:39:37,WEB,1,213.94,0.03,207.52,4.5229,0.594,0.15,0.57,5.117,0.72,0.0247,TRUE,NONE
112,192,236,2205,306,11,2,2025-07-11 08:05:36,APP,1,220.06,0.09,200.25,2.2095,0.0619,0.1,0.34,2.271,0.44,0.0113,TRUE,NONE
113,470,3806,1725,129,21,2,2026-04-15 09:56:18,RETAIL,3,155.57,0.34,308.03,11.7471,0.1685,0.07,0.53,35.747,1.8,0.1161,TRUE,NONE
114,323,359,57,285,1,3,2025-11-19 19:38:35,APP,1,179.52,0.04,172.34,18.4392,0.8184,0.01,0.43,19.258,0.44,0.1117,TRUE,NONE
115,284,3737,2205,81,35,4,2025-10-11 10:03:03,MARKETPLACE,4,171.22,0.28,493.11,8.1837,0.1445,0.02,0.46,33.313,1.92,0.0676,TRUE,NONE
116,125,4444,258,393,28,5,2025-05-05 08:19:23,RETAIL,2,82.06,0.25,123.09,3.6889,0.0009,0.1,0.09,7.38,0.38,0.06,TRUE,NONE
117,375,4739,2301,33,29,1,2026-01-10 22:45:07,MARKETPLACE,2,134.41,0.05,255.38,17.6571,17.64,0.18,0.2,70.594,0.76,0.2764,FALSE,NONE
118,489,1775,1362,276,16,3,2026-05-04 06:06:52,APP,4,81.05,0.2,259.36,17.4638,0.7788,0.13,0.4,72.97,2.12,0.2813,FALSE,NONE
119,127,435,579,396,15,2,2025-05-07 18:03:02,APP,3,134.66,0.34,266.63,28.7439,0.193,0.07,0.4,86.811,1.41,0.3256,FALSE,RETURNED
120,463,3561,336,342,39,1,2026-04-08 16:35:50,WEB,4,115.79,0.01,458.53,9.1631,12.096,0.03,0.44,85.036,1.88,0.1855,FALSE,RETURNED
121,247,529,1758,240,37,3,2025-09-04 03:29:50,APP,2,175.94,0.07,327.25,13.018,1.5576,0.16,0.44,29.151,1.2,0.0891,TRUE,NONE
122,452,4436,333,417,5,5,2026-03-28 01:52:13,WHOLESALE,1,138.37,0.06,130.07,7.1433,0.0028,0.08,0.45,7.146,0.53,0.0549,TRUE,NONE
123,423,4722,714,216,12,5,2026-02-27 15:13:51,MARKETPLACE,4,111.78,0.19,362.17,2.0898,0.0026,0.17,0.59,8.37,3.04,0.0231,FALSE,NONE
124,305,2913,1872,411,2,1,2025-11-01 21:58:46,APP,4,98.9,0.07,367.91,7.5099,16.506,0.09,0.21,96.064,1.2,0.2611,TRUE,RETURNED
125,343,2705,1410,420,24,6,2025-12-09 06:37:25,APP,1,186.46,0.19,151.03,19.7832,0.0,0.01,0.08,19.783,0.09,0.131,FALSE,NONE
126,358,1730,1560,441,10,3,2025-12-24 22:08:15,RETAIL,3,169.34,0.34,335.29,4.4411,0.9768,0.02,0.1,16.254,0.36,0.0485,FALSE,NONE
127,365,3221,1839,72,20,6,2025-12-31 03:18:42,WEB,4,49.63,0.33,133.01,24.6001,0.0,0.13,0.11,98.4,0.96,0.7398,TRUE,NONE
128,542,3753,1584,126,4,6,2026-06-26 08:31:10,APP,3,131.29,0.23,303.28,7.0183,0.0,0.03,0.47,21.055,1.5,0.0694,TRUE,NONE
129,48,2047,1095,330,30,3,2025-02-17 12:38:55,APP,1,145.03,0.29,102.97,11.1855,0.594,0.17,0.11,11.779,0.28,0.1144,TRUE,RETURNED
130,260,2821,1872,129,14,4,2025-09-17 22:07:30,WHOLESALE,2,234.46,0.3,328.24,8.0422,0.4402,0.1,0.23,16.965,0.66,0.0517,TRUE,NONE
131,281,3148,2217,186,2,6,2025-10-08 00:59:27,WHOLESALE,4,95.15,0.34,251.2,8.9666,0.0,0.11,0.53,35.866,2.56,0.1428,FALSE,NONE
132,232,421,222,90,22,3,2025-08-20 14:50:17,WEB,3,110.52,0.09,301.72,7.6688,1.254,0.09,0.36,26.768,1.35,0.0887,FALSE,EXCHANGED
133,402,2358,1866,6,19,1,2026-02-06 10:23:24,RETAIL,3,117.09,0.12,309.12,15.0961,16.758,0.06,0.04,95.562,0.3,0.3091,FALSE,NONE
134,461,538,2142,54,38,4,2026-04-06 09:10:57,RETAIL,2,151.31,0.15,257.23,20.2883,0.2251,0.09,0.35,41.027,0.88,0.1595,TRUE,NONE
135,455,1565,1011,333,10,3,2026-03-31 04:54:38,WEB,4,216.9,0.31,598.64,8.0885,1.7556,0.01,0.08,39.376,0.36,0.0658,FALSE,NONE
136,555,2413,795,195,4,3,2026-07-09 18:09:39,APP,1,220.87,0.18,181.11,13.3981,1.0032,0.25,0.15,14.401,0.4,0.0795,TRUE,RETURNED
137,29,2072,843,327,20,4,2025-01-29 16:28:57,APP,2,189.22,0.15,321.67,9.5384,0.4166,0.18,0.33,19.91,1.02,0.0619,TRUE,NONE
138,369,2592,2145,348,4,5,2026-01-04 07:47:27,WEB,1,204.78,0.14,176.11,2.5362,0.001,0.23,0.28,2.537,0.51,0.0144,FALSE,NONE
139,70,2632,795,342,5,2,2025-03-11 06:16:55,WHOLESALE,1,116.81,0.24,88.78,17.821,0.1094,0.23,0.6,17.93,0.83,0.202,FALSE,EXCHANGED
140,142,3010,2205,393,29,4,2025-05-22 11:27:52,APP,3,157.71,0.29,335.92,4.2607,0.1445,0.03,0.04,13.216,0.21,0.0393,FALSE,NONE
141,539,895,2133,357,16,3,2026-06-23 13:49:15,APP,3,61.91,0.26,137.44,16.0356,1.7556,0.09,0.44,53.374,1.59,0.3883,TRUE,RETURNED
142,457,458,744,150,23,3,2026-04-02 13:40:22,MARKETPLACE,1,231.58,0.27,169.05,11.5959,1.1352,0.12,0.47,12.731,0.59,0.0753,TRUE,EXCHANGED
143,471,4891,516,264,27,2,2026-04-16 00:55:03,WEB,1,71.31,0.03,69.17,5.3695,0.1051,0.02,0.32,5.475,0.34,0.0792,TRUE,EXCHANGED
144,299,3970,1590,120,19,3,2025-10-26 09:38:45,WEB,3,181.74,0.0,545.22,22.6551,0.7524,0.19,0.58,70.223,2.31,0.1288,TRUE,NONE
145,474,2276,303,366,26,6,2026-04-19 00:17:09,WEB,4,46.92,0.06,176.42,5.3279,0.0,0.18,0.07,21.312,1.0,0.1208,FALSE,EXCHANGED
146,468,2876,393,246,9,6,2026-04-13 01:26:32,WEB,4,232.83,0.13,810.25,9.9288,0.0,0.17,0.33,39.715,2.0,0.049,TRUE,NONE
147,75,2014,1368,150,31,2,2025-03-16 15:25:00,MARKETPLACE,3,46.46,0.11,124.05,12.3545,0.1829,0.21,0.16,37.612,1.11,0.3032,FALSE,RETURNED
148,253,1849,72,3,18,3,2025-09-10 22:42:21,RETAIL,2,138.39,0.3,193.75,3.6166,0.6864,0.13,0.04,8.606,0.34,0.0444,TRUE,NONE
149,228,1794,1371,189,23,4,2025-08-16 03:30:07,WEB,3,162.91,0.02,478.96,18.2388,0.3797,0.22,0.38,55.856,1.8,0.1166,FALSE,NONE
150,547,4751,2298,24,3,3,2026-07-01 15:50:28,RETAIL,4,188.4,0.07,700.85,10.9119,2.0328,0.14,0.29,51.779,1.72,0.0739,FALSE,EXCHANGED
151,427,3182,6,297,19,1,2026-03-03 11:50:05,WEB,4,224.74,0.13,782.1,4.8732,5.922,0.01,0.26,43.181,1.08,0.0552,FALSE,NONE
152,143,4226,162,333,26,3,2025-05-23 04:52:19,APP,4,221.18,0.17,734.32,5.072,1.9932,0.04,0.14,28.261,0.72,0.0385,TRUE,NONE
153,372,149,252,207,16,6,2026-01-07 11:22:40,WEB,1,221.15,0.29,157.02,10.5658,0.0,0.21,0.45,10.566,0.66,0.0673,TRUE,RETURNED
154,8,4848,324,393,6,3,2025-01-08 08:27:01,WHOLESALE,2,214.01,0.34,282.49,1.4663,1.5708,0.04,0.1,6.074,0.28,0.0215,TRUE,NONE
155,39,2209,9,369,9,6,2025-02-08 13:05:43,WEB,3,101.57,0.05,289.47,13.5808,0.0,0.08,0.03,40.742,0.33,0.1407,TRUE,NONE
