id,style_name,category,gender,material_family,unit_weight_kg,list_price,recycled_content_pct,circularity_score,take_back_eligible
300,debate,BOOT,MENS,Recycled Nylon,0.83,61.66,29.25,83,TRUE
303,face,SANDAL,WOMENS,Hemp Canvas,0.83,102.49,99.6,64,TRUE
306,floor,RUNNING,MENS,Cork,0.77,166.13,44.92,16,TRUE
309,better,FORMAL,WOMENS,Bio-EVA,1.46,191.69,76.54,52,FALSE
312,concern,SNEAKER,WOMENS,TENCEL Lyocell,0.56,216.69,46.88,83,TRUE
315,partner,RUNNING,WOMENS,Cork,0.7,124.02,4.18,94,FALSE
318,reason,SNEAKER,MENS,TENCEL Lyocell,1.56,78.87,43.96,38,FALSE
321,week,RUNNING,WOMENS,Cork,1.48,227.12,88.25,11,TRUE
324,thousand,SANDAL,KIDS,Algae Foam,1.19,70.52,86.88,22,FALSE
327,analysis,SNEAKER,MENS,Cork,0.89,55.68,60.01,31,FALSE
330,air,SNEAKER,WOMENS,Recycled Rubber,1.24,159.18,56.22,58,FALSE
333,put,SNEAKER,WOMENS,Algae Foam,1.58,150.08,8.77,92,FALSE
336,evidence,SNEAKER,WOMENS,Organic Cotton,0.96,206.31,73.75,26,FALSE
339,speak,SANDAL,MENS,Recycled PET,0.61,108.41,33.79,86,TRUE
342,prepare,SNEAKER,MENS,TENCEL Lyocell,1.47,113.26,96.96,35,FALSE
345,modern,SANDAL,WOMENS,Algae Foam,0.61,117.59,3.74,25,FALSE
348,offer,SNEAKER,MENS,Recycled Nylon,0.54,104.31,4.4,76,FALSE
351,five,SNEAKER,WOMENS,Apple Leather,1.07,60.5,54.25,70,TRUE
354,support,BOOT,MENS,Recycled Nylon,1.24,168.43,31.24,25,FALSE
357,into,RUNNING,WOMENS,Apple Leather,0.8,219.77,32.48,62,TRUE
360,baby,RUNNING,MENS,Algae Foam,1.57,119.6,34.07,88,FALSE
363,coach,SLIPPER,WOMENS,Organic Cotton,1.38,200.98,37.89,63,FALSE
366,member,SANDAL,MENS,Apple Leather,1.52,189.74,91.51,11,FALSE
369,grow,RUNNING,MENS,Chrome-free Leather,1.05,178.12,47.49,24,FALSE
372,form,FORMAL,UNISEX,Hemp Canvas,1.52,169.88,45.44,54,FALSE
375,from,RUNNING,MENS,Organic Cotton,1.28,245.55,98.37,99,TRUE
378,hair,FORMAL,MENS,Bio-EVA,0.82,244.33,29.46,21,TRUE
381,soon,SNEAKER,WOMENS,Bio-EVA,1.43,41.98,11.15,22,FALSE
384,or,RUNNING,MENS,Recycled Rubber,1.27,74.13,57.78,44,TRUE
387,effort,RUNNING,MENS,Apple Leather,1.22,47.61,91.77,81,TRUE
390,example,SLIPPER,WOMENS,Recycled PET,0.41,53.27,41.12,67,TRUE
393,chance,SANDAL,MENS,TENCEL Lyocell,0.62,62.28,18.43,37,TRUE
396,fill,SNEAKER,MENS,Cork,1.51,167.16,17.84,62,TRUE
399,treat,SNEAKER,MENS,Recycled Nylon,1.09,147.23,93.99,62,TRUE
402,energy,BOOT,MENS,Recycled Nylon,0.81,215.65,76.05,37,FALSE
405,collection,RUNNING,UNISEX,Recycled Rubber,1.0,241.64,81.18,2,TRUE
408,world,RUNNING,KIDS,Recycled PET,1.24,66.41,17.22,6,FALSE
411,form,SNEAKER,MENS,Algae Foam,0.79,241.59,21.32,5,FALSE
414,collection,SNEAKER,KIDS,Hemp Canvas,1.11,98.58,69.35,98,TRUE
417,manage,SNEAKER,KIDS,Apple Leather,1.14,220.17,98.68,64,TRUE
420,foot,SANDAL,WOMENS,Hemp Canvas,1.51,75.94,78.55,62,FALSE
423,believe,RUNNING,UNISEX,Organic Cotton,1.51,134.55,38.73,17,TRUE
426,mouth,FORMAL,MENS,Algae Foam,0.68,125.46,52.18,27,FALSE
429,dinner,RUNNING,MENS,Chrome-free Leather,1.37,185.3,9.8,63,TRUE
432,anything,SNEAKER,MENS,Natural Rubber,1.45,170.63,70.39,0,FALSE
435,miss,SNEAKER,MENS,Cork,0.45,115.95,64.82,90,TRUE
438,threat,SNEAKER,MENS,Cork,1.0,213.21,47.02,68,FALSE
441,many,BOOT,MENS,Recycled Nylon,1.02,170.73,29.32,87,FALSE
444,across,SANDAL,MENS,Bio-EVA,0.56,204.76,17.17,33,TRUE
447,lawyer,SNEAKER,KIDS,Algae Foam,0.93,116.63,20.52,90,TRUE
450,everything,SANDAL,MENS,Bio-EVA,1.53,244.94,57.37,18,FALSE
453,south,RUNNING,UNISEX,TENCEL Lyocell,0.63,56.55,84.95,86,FALSE
456,answer,SNEAKER,UNISEX,Cork,1.59,207.77,28.86,93,FALSE
459,over,RUNNING,MENS,Hemp Canvas,1.31,67.75,18.6,48,TRUE
462,him,RUNNING,MENS,Natural Rubber,0.54,97.22,99.43,8,FALSE
465,back,SNEAKER,WOMENS,Cork,1.49,113.76,28.99,67,FALSE
468,little,SNEAKER,WOMENS,Bio-EVA,1.33,125.52,92.09,20,TRUE
471,far,RUNNING,WOMENS,Chrome-free Leather,1.38,225.84,59.76,97,FALSE
474,response,RUNNING,WOMENS,Recycled PET,1.19,163.57,46.91,32,TRUE
477,career,SANDAL,MENS,Algae Foam,0.48,211.11,76.32,67,TRUE
480,hour,RUNNING,MENS,Chrome-free Leather,1.31,105.0,46.59,66,TRUE
483,open,SNEAKER,UNISEX,Cork,1.21,76.65,99.87,62,FALSE
486,someone,SANDAL,MENS,Bio-EVA,1.26,161.2,27.3,82,FALSE
489,play,SNEAKER,WOMENS,Recycled Rubber,0.79,102.58,62.32,97,TRUE
492,month,RUNNING,MENS,Cork,0.44,155.9,86.04,38,FALSE
495,American,RUNNING,MENS,TENCEL Lyocell,0.74,51.9,59.05,16,FALSE
498,goal,RUNNING,WOMENS,Recycled PET,0.79,135.79,86.34,72,FALSE
501,natural,SNEAKER,KIDS,Natural Rubber,1.16,243.56,7.53,68,TRUE
504,police,RUNNING,UNISEX,Cork,1.05,81.02,40.23,79,FALSE
507,challenge,FORMAL,MENS,Recycled PET,0.64,136.12,24.04,95,FALSE
510,position,SANDAL,MENS,Algae Foam,0.92,174.85,3.7,20,TRUE
513,increase,BOOT,UNISEX,Chrome-free Leather,1.41,215.98,23.6,73,FALSE
516,thousand,SNEAKER,WOMENS,Natural Rubber,0.73,124.76,86.29,7,TRUE
519,great,FORMAL,MENS,TENCEL Lyocell,0.69,155.07,30.93,89,TRUE
522,Mr,BOOT,UNISEX,TENCEL Lyocell,0.89,46.12,86.64,99,FALSE
525,section,BOOT,WOMENS,Cork,1.17,39.65,20.01,39,TRUE
528,may,SNEAKER,MENS,Natural Rubber,1.45,237.4,88.43,28,TRUE
531,home,SANDAL,MENS,Apple Leather,0.94,180.46,11.85,91,TRUE
534,break,SNEAKER,MENS,Natural Rubber,1.1,174.92,8.57,60,TRUE
537,foot,BOOT,UNISEX,Recycled PET,0.7,169.13,30.25,50,FALSE
540,share,SLIPPER,WOMENS,Chrome-free Leather,0.92,228.59,26.32,97,FALSE
543,professional,RUNNING,WOMENS,Recycled Nylon,0.99,131.72,98.88,71,TRUE
546,matter,BOOT,MENS,Recycled PET,1.32,181.15,88.74,3,TRUE
549,stay,SLIPPER,WOMENS,Hemp Canvas,1.28,240.05,56.92,27,FALSE
552,participant,BOOT,KIDS,Organic Cotton,0.76,207.23,73.59,39,FALSE
555,approach,RUNNING,KIDS,Hemp Canvas,1.18,188.86,93.07,67,FALSE
558,conference,RUNNING,WOMENS,Recycled Rubber,1.08,92.21,25.49,10,FALSE
561,set,SNEAKER,KIDS,Bio-EVA,1.21,130.1,1.79,50,TRUE
564,thought,SNEAKER,WOMENS,Recycled PET,1.56,219.39,20.92,83,TRUE
567,term,SNEAKER,MENS,Recycled Nylon,0.46,40.65,63.04,91,TRUE
570,almost,BOOT,MENS,Bio-EVA,1.18,225.72,11.69,79,FALSE
573,school,RUNNING,MENS,Apple Leather,1.18,114.65,47.23,20,FALSE
576,after,SNEAKER,UNISEX,Recycled Nylon,0.44,52.37,43.06,79,TRUE
579,kid,SLIPPER,UNISEX,Apple Leather,1.34,167.03,85.84,13,FALSE
582,rock,RUNNING,MENS,TENCEL Lyocell,0.69,208.92,34.13,64,TRUE
585,more,SNEAKER,WOMENS,Recycled PET,1.37,237.16,8.48,40,TRUE
588,wife,FORMAL,MENS,Bio-EVA,0.81,212.67,90.02,78,FALSE
591,thus,SANDAL,WOMENS,Apple Leather,0.74,58.49,55.18,66,TRUE
594,assume,FORMAL,MENS,Algae Foam,0.41,110.19,23.61,95,FALSE
597,natural,SANDAL,WOMENS,Organic Cotton,1.25,212.97,8.19,7,TRUE
600,garden,SNEAKER,WOMENS,Hemp Canvas,0.56,186.95,86.33,15,FALSE
603,never,SANDAL,WOMENS,Recycled Rubber,0.46,226.79,88.91,27,TRUE
606,consumer,SANDAL,MENS,Organic Cotton,1.27,57.76,62.48,79,TRUE
609,no,SNEAKER,MENS,Algae Foam,0.46,158.75,18.94,60,FALSE
612,health,SNEAKER,WOMENS,Algae Foam,0.86,58.12,97.98,69,TRUE
615,trip,SANDAL,WOMENS,Natural Rubber,1.3,162.07,49.3,96,FALSE
618,question,BOOT,MENS,Recycled Nylon,1.0,203.41,14.24,69,FALSE
621,everything,RUNNING,WOMENS,Recycled Rubber,1.1,146.17,4.55,94,FALSE
624,dark,SNEAKER,KIDS,Chrome-free Leather,0.95,164.9,1.59,88,TRUE
627,open,SNEAKER,KIDS,Chrome-free Leather,1.12,120.22,83.91,89,FALSE
630,year,SNEAKER,MENS,Hemp Canvas,1.13,40.5,98.43,81,TRUE
633,fight,SNEAKER,UNISEX,Recycled PET,1.56,181.32,61.45,87,FALSE
636,road,SNEAKER,MENS,Cork,0.41,79.87,8.18,73,FALSE
639,free,SNEAKER,MENS,Apple Leather,1.4,211.54,51.97,30,FALSE
642,opportunity,BOOT,WOMENS,Hemp Canvas,1.07,100.93,38.15,12,FALSE
645,stuff,SNEAKER,MENS,Recycled Rubber,1.41,228.92,12.6,65,TRUE
648,field,RUNNING,MENS,Recycled PET,1.1,181.44,5.73,64,FALSE
651,require,RUNNING,WOMENS,Cork,1.35,47.86,21.94,0,FALSE
654,war,SNEAKER,MENS,TENCEL Lyocell,0.45,45.23,19.78,22,TRUE
657,hair,RUNNING,MENS,Natural Rubber,1.03,206.79,62.32,55,FALSE
660,child,RUNNING,WOMENS,TENCEL Lyocell,1.45,217.82,96.84,62,TRUE
663,field,BOOT,MENS,TENCEL Lyocell,1.18,82.51,89.49,57,FALSE
666,half,RUNNING,MENS,TENCEL Lyocell,0.78,119.3,17.96,29,TRUE
669,reality,SANDAL,UNISEX,Natural Rubber,1.12,67.95,85.5,91,FALSE
672,measure,SANDAL,MENS,Algae Foam,1.34,198.1,72.25,59,TRUE
675,their,RUNNING,MENS,Chrome-free Leather,1.33,151.9,32.61,2,FALSE
678,worker,RUNNING,UNISEX,Organic Cotton,0.53,155.11,3.21,88,FALSE
681,expert,RUNNING,UNISEX,Chrome-free Leather,1.48,82.36,87.04,39,TRUE
684,power,FORMAL,MENS,Algae Foam,1.28,99.46,88.1,58,TRUE
687,education,FORMAL,WOMENS,Recycled Rubber,0.75,231.42,69.8,92,FALSE
690,relationship,RUNNING,WOMENS,Chrome-free Leather,0.63,46.93,25.06,90,FALSE
693,draw,SNEAKER,MENS,Recycled PET,0.73,131.54,17.79,91,TRUE
696,area,RUNNING,WOMENS,Organic Cotton,0.91,246.75,33.71,24,FALSE
699,give,SNEAKER,WOMENS,Natural Rubber,0.88,105.41,38.92,58,TRUE
702,black,SLIPPER,MENS,Hemp Canvas,1.57,184.68,33.2,81,FALSE
705,certain,SANDAL,UNISEX,Recycled Rubber,0.47,117.65,29.66,19,TRUE
708,woman,SANDAL,WOMENS,Natural Rubber,0.46,231.71,98.84,87,FALSE
711,read,SNEAKER,MENS,Bio-EVA,1.27,90.43,17.64,31,TRUE
714,unit,RUNNING,UNISEX,TENCEL Lyocell,1.51,163.99,15.28,93,TRUE
717,rather,SLIPPER,MENS,Cork,1.17,162.54,40.88,4,FALSE
720,field,RUNNING,KIDS,Chrome-free Leather,1.25,44.93,66.57,18,TRUE
723,race,SNEAKER,MENS,Hemp Canvas,1.0,150.97,88.67,75,TRUE
726,specific,SNEAKER,MENS,Algae Foam,1.19,192.94,17.06,47,TRUE
729,painting,BOOT,WOMENS,Organic Cotton,0.55,52.5,2.97,30,TRUE
732,single,BOOT,WOMENS,Hemp Canvas,0.81,105.2,23.96,46,FALSE
735,write,RUNNING,MENS,Recycled Rubber,0.97,125.76,18.79,81,FALSE
738,will,FORMAL,UNISEX,Hemp Canvas,0.75,79.97,14.32,66,FALSE
741,us,BOOT,WOMENS,Cork,1.26,72.65,92.9,49,FALSE
744,world,RUNNING,MENS,Hemp Canvas,0.86,173.84,56.19,55,FALSE
747,think,SANDAL,KIDS,Bio-EVA,0.84,181.65,79.66,66,FALSE
750,mission,RUNNING,MENS,Hemp Canvas,0.73,217.01,57.4,80,FALSE
753,smile,SLIPPER,MENS,Recycled Nylon,1.59,154.07,33.74,86,TRUE
756,figure,BOOT,MENS,Cork,0.98,227.42,20.98,95,TRUE
759,act,RUNNING,WOMENS,Cork,0.58,190.74,24.5,15,TRUE
762,player,SNEAKER,MENS,Recycled Nylon,0.67,162.24,98.73,61,TRUE
765,government,RUNNING,UNISEX,Cork,1.02,161.79,71.37,83,TRUE
768,put,SLIPPER,MENS,Chrome-free Leather,1.05,127.84,94.52,0,TRUE
771,minute,SNEAKER,WOMENS,TENCEL Lyocell,1.55,165.45,21.6,45,TRUE
774,center,SNEAKER,MENS,Recycled Rubber,1.38,166.04,41.97,19,TRUE
777,management,SNEAKER,KIDS,Natural Rubber,1.54,203.37,12.35,67,FALSE
780,table,RUNNING,MENS,Recycled Nylon,0.97,65.79,0.95,65,FALSE
783,commercial,SLIPPER,MENS,Hemp Canvas,1.51,87.04,63.56,11,FALSE
786,raise,SANDAL,MENS,Algae Foam,1.6,225.5,69.79,51,TRUE
789,cultural,FORMAL,MENS,Natural Rubber,0.49,215.28,51.37,6,TRUE
792,green,SLIPPER,MENS,Recycled Nylon,1.52,226.42,84.84,7,TRUE
795,out,BOOT,WOMENS,Chrome-free Leather,0.76,128.95,18.22,34,TRUE
798,data,SLIPPER,KIDS,Organic Cotton,0.99,143.07,68.17,16,TRUE
801,total,BOOT,WOMENS,Cork,0.74,56.35,42.9,79,TRUE
804,into,SNEAKER,WOMENS,Chrome-free Leather,0.73,79.36,14.62,2,FALSE
807,myself,RUNNING,WOMENS,Recycled PET,0.46,195.4,21.2,60,TRUE
810,institution,SNEAKER,WOMENS,Recycled Rubber,0.5,61.34,62.96,77,TRUE
813,crime,BOOT,WOMENS,Recycled Nylon,1.42,229.43,97.51,46,TRUE
816,game,RUNNING,MENS,Recycled Nylon,1.57,73.76,75.07,49,FALSE
819,according,SNEAKER,WOMENS,Algae Foam,0.75,173.32,94.2,35,FALSE
822,eat,BOOT,WOMENS,Recycled PET,1.38,212.03,21.93,35,TRUE
825,example,BOOT,UNISEX,TENCEL Lyocell,0.59,87.66,72.63,47,TRUE
828,pass,SNEAKER,KIDS,Apple Leather,0.52,149.62,72.68,1,FALSE
831,activity,RUNNING,MENS,Natural Rubber,0.98,157.2,44.43,20,TRUE
834,here,RUNNING,WOMENS,Apple Leather,1.22,183.22,71.49,14,TRUE
837,assume,FORMAL,MENS,Recycled Rubber,0.74,222.83,27.11,63,FALSE
840,make,SLIPPER,WOMENS,Organic Cotton,1.59,77.19,38.5,40,TRUE
843,into,BOOT,MENS,Hemp Canvas,1.24,88.39,0.29,2,TRUE
846,wind,SNEAKER,KIDS,Hemp Canvas,0.85,44.53,96.49,47,TRUE
849,score,FORMAL,MENS,Hemp Canvas,0.93,174.42,1.32,14,TRUE
852,road,SNEAKER,MENS,Apple Leather,1.29,123.08,5.6,50,TRUE
855,whom,SANDAL,WOMENS,Bio-EVA,1.05,52.72,59.71,96,FALSE
858,hold,RUNNING,WOMENS,Chrome-free Leather,0.83,66.2,67.47,42,TRUE
861,discuss,SANDAL,MENS,TENCEL Lyocell,0.59,241.37,51.63,93,FALSE
864,claim,RUNNING,UNISEX,Organic Cotton,1.44,153.9,96.89,100,FALSE
867,police,FORMAL,KIDS,Cork,0.84,99.19,40.9,79,FALSE
870,science,SNEAKER,UNISEX,Bio-EVA,0.59,122.85,7.3,49,FALSE
873,market,SANDAL,MENS,Bio-EVA,0.45,71.71,47.0,81,TRUE
876,suffer,RUNNING,WOMENS,Hemp Canvas,1.45,149.2,66.96,33,TRUE
879,discover,FORMAL,WOMENS,Hemp Canvas,1.09,69.37,66.41,93,FALSE
882,response,SLIPPER,WOMENS,Natural Rubber,1.57,127.24,54.61,21,FALSE
885,TV,SANDAL,MENS,Apple Leather,0.8,233.53,45.88,47,TRUE
888,never,RUNNING,MENS,TENCEL Lyocell,1.51,59.94,44.41,74,FALSE
891,score,RUNNING,WOMENS,Bio-EVA,1.46,94.54,83.85,53,FALSE
894,whose,RUNNING,WOMENS,Apple Leather,0.91,236.27,39.04,93,TRUE
897,assume,RUNNING,MENS,Recycled Rubber,0.43,187.59,92.06,10,FALSE
900,weight,SNEAKER,WOMENS,Recycled PET,1.58,221.06,11.09,76,TRUE
903,page,BOOT,MENS,Organic Cotton,0.76,228.76,65.97,80,FALSE
906,community,SNEAKER,WOMENS,Bio-EVA,0.66,191.83,93.98,34,TRUE
909,nature,SANDAL,MENS,Organic Cotton,0.65,190.63,43.35,57,TRUE
912,response,BOOT,KIDS,Chrome-free Leather,0.44,76.78,32.27,23,TRUE
915,past,SNEAKER,WOMENS,Recycled Rubber,1.46,219.58,7.48,82,TRUE
918,way,BOOT,WOMENS,Cork,0.56,242.04,3.7,68,FALSE
921,table,BOOT,KIDS,Recycled Nylon,1.53,60.58,22.4,1,TRUE
924,cause,SNEAKER,WOMENS,Recycled Rubber,1.37,95.68,17.03,17,FALSE
927,loss,SNEAKER,UNISEX,Hemp Canvas,0.82,214.46,24.24,82,FALSE
930,operation,BOOT,UNISEX,Organic Cotton,0.56,231.51,38.56,57,FALSE
933,surface,RUNNING,WOMENS,Organic Cotton,1.06,113.43,21.21,50,FALSE
936,age,SLIPPER,WOMENS,Recycled PET,0.44,94.9,6.58,12,TRUE
939,technology,FORMAL,MENS,Hemp Canvas,1.42,183.47,17.02,87,TRUE
942,discover,SNEAKER,WOMENS,TENCEL Lyocell,1.08,246.99,83.54,67,FALSE
945,answer,FORMAL,UNISEX,Recycled Rubber,0.54,183.01,72.82,2,TRUE
948,school,FORMAL,MENS,Apple Leather,1.03,94.71,67.91,42,TRUE
951,as,BOOT,MENS,Bio-EVA,1.07,73.15,48.68,8,FALSE
954,authority,SLIPPER,MENS,Organic Cotton,1.28,129.73,91.83,37,TRUE
957,almost,SNEAKER,WOMENS,Algae Foam,0.76,56.98,56.67,80,TRUE
960,couple,SANDAL,WOMENS,Organic Cotton,1.49,204.19,58.03,47,TRUE
963,space,SNEAKER,WOMENS,Cork,0.8,51.78,74.05,86,FALSE
966,race,SNEAKER,MENS,Organic Cotton,0.52,81.9,47.37,64,TRUE
969,vote,BOOT,WOMENS,Hemp Canvas,1.06,138.99,29.0,85,TRUE
972,true,SNEAKER,UNISEX,Apple Leather,0.96,190.84,27.69,20,TRUE
