id,supplier_nk,name,country,region,sustainability_rating,renewable_energy_pct,zero_waste_certified,valid_from,valid_to,is_current
34,12,"Stanley, Tucker and Lee",INDIA,ASIA,C,0.17,FALSE,2023-01-01,2024-01-01,FALSE
35,12,Novak PLC,CHINA,ASIA,D,67.06,TRUE,2024-01-01,2024-12-31,FALSE
36,12,"Daniels, Adkins and Brown",VIETNAM,ASIA,B,31.39,FALSE,2024-12-31,9999-12-31,TRUE
37,13,"Woods, Calhoun and Schmidt",BRAZIL,AMERICA,B,40.84,TRUE,2023-01-01,2024-01-01,FALSE
38,13,Yu Inc,INDONESIA,ASIA,C,94.04,FALSE,2024-01-01,2024-12-31,FALSE
39,13,Jones Inc,SPAIN,EUROPE,B,54.79,TRUE,2024-12-31,9999-12-31,TRUE
40,14,"Hensley, Powell and David",INDONESIA,ASIA,C,65.47,TRUE,2023-01-01,2024-01-01,FALSE
41,14,"Sanchez, Wheeler and Harvey",CHINA,ASIA,C,90.12,FALSE,2024-01-01,2024-12-31,FALSE
42,14,Sandoval-Cunningham,VIETNAM,ASIA,C,63.29,TRUE,2024-12-31,9999-12-31,TRUE
43,15,Donovan-Harris,PORTUGAL,EUROPE,C,22.46,TRUE,2023-01-01,2024-01-01,FALSE
44,15,"Edwards, Baker and Anderson",VIETNAM,ASIA,C,84.97,TRUE,2024-01-01,2024-12-31,FALSE
45,15,"Evans, Stewart and Walton",CHINA,ASIA,B,69.64,TRUE,2024-12-31,9999-12-31,TRUE
46,16,Smith PLC,INDONESIA,ASIA,A,75.1,FALSE,2023-01-01,2024-01-01,FALSE
47,16,"Ferrell, Jones and Lewis",VIETNAM,ASIA,B,95.8,FALSE,2024-01-01,2024-12-31,FALSE
48,16,Anderson-Bailey,VIETNAM,ASIA,D,45.65,FALSE,2024-12-31,9999-12-31,TRUE
49,17,Suarez LLC,INDIA,ASIA,C,95.0,FALSE,2023-01-01,2024-01-01,FALSE
50,17,Moore-Bass,INDIA,ASIA,C,83.06,FALSE,2024-01-01,2024-12-31,FALSE
51,17,"Turner, Riggs and Roman",SPAIN,EUROPE,C,25.92,TRUE,2024-12-31,9999-12-31,TRUE
52,18,"Smith, Montoya and Evans",INDIA,ASIA,C,62.67,TRUE,2023-01-01,2024-01-01,FALSE
53,18,"Garcia, Humphrey and Baker",VIETNAM,ASIA,B,31.97,FALSE,2024-01-01,2024-12-31,FALSE
54,18,Newton and Sons,VIETNAM,ASIA,C,70.64,TRUE,2024-12-31,9999-12-31,TRUE
55,19,Campbell-Clark,CHINA,ASIA,C,20.68,TRUE,2023-01-01,2024-01-01,FALSE
56,19,Harris-Walters,SPAIN,EUROPE,C,85.67,FALSE,2024-01-01,2024-12-31,FALSE
57,19,Wagner-King,INDONESIA,ASIA,B,75.35,FALSE,2024-12-31,9999-12-31,TRUE
58,20,Davis Group,ETHIOPIA,AFRICA,D,54.61,FALSE,2023-01-01,2024-01-01,FALSE
59,20,Williams-Cook,INDONESIA,ASIA,C,2.9,TRUE,2024-01-01,2024-12-31,FALSE
60,20,Walsh LLC,BRAZIL,AMERICA,B,46.74,TRUE,2024-12-31,9999-12-31,TRUE
61,21,Figueroa PLC,INDIA,ASIA,C,56.44,TRUE,2023-01-01,2024-01-01,FALSE
62,21,"Patterson, Smith and Jones",INDIA,ASIA,C,5.03,TRUE,2024-01-01,2024-12-31,FALSE
63,21,"Mckee, Gardner and Davenport",VIETNAM,ASIA,D,37.91,FALSE,2024-12-31,9999-12-31,TRUE
64,22,"Tran, Jordan and Williams",ITALY,EUROPE,A,1.94,FALSE,2023-01-01,2024-01-01,FALSE
65,22,Nolan-Flynn,MEXICO,AMERICA,C,78.12,FALSE,2024-01-01,2024-12-31,FALSE
66,22,Nolan and Sons,PORTUGAL,EUROPE,B,2.04,TRUE,2024-12-31,9999-12-31,TRUE
67,23,"Wright, Garcia and Deleon",VIETNAM,ASIA,C,21.8,FALSE,2023-01-01,2024-01-01,FALSE
68,23,Dickson-Brady,PORTUGAL,EUROPE,C,74.79,TRUE,2024-01-01,2024-12-31,FALSE
69,23,Hancock and Sons,PORTUGAL,EUROPE,B,2.57,TRUE,2024-12-31,9999-12-31,TRUE
70,24,Johnson-Doyle,INDIA,ASIA,C,71.5,TRUE,2023-01-01,2024-01-01,FALSE
71,24,Patton-Jenkins,BRAZIL,AMERICA,B,77.25,FALSE,2024-01-01,2024-12-31,FALSE
72,24,"Shields, Cochran and Adams",INDIA,ASIA,E,78.26,TRUE,2024-12-31,9999-12-31,TRUE
73,25,"Rodriguez, Brennan and Garrison",CHINA,ASIA,C,34.12,FALSE,2023-01-01,2024-01-01,FALSE
74,25,Gonzalez Group,ITALY,EUROPE,E,63.56,FALSE,2024-01-01,2024-12-31,FALSE
75,25,Torres-Pope,BRAZIL,AMERICA,D,96.55,TRUE,2024-12-31,9999-12-31,TRUE
76,26,Walker Ltd,PORTUGAL,EUROPE,C,43.56,FALSE,2023-01-01,2024-01-01,FALSE
77,26,Ross LLC,INDONESIA,ASIA,D,8.67,FALSE,2024-01-01,2024-12-31,FALSE
78,26,Rasmussen LLC,INDONESIA,ASIA,C,37.9,TRUE,2024-12-31,9999-12-31,TRUE
79,27,May-Ross,ITALY,EUROPE,B,79.78,TRUE,2023-01-01,2024-01-01,FALSE
80,27,"Rivera, Johnson and Wiley",ITALY,EUROPE,B,1.02,FALSE,2024-01-01,2024-12-31,FALSE
81,27,White-Estes,VIETNAM,ASIA,C,75.82,FALSE,2024-12-31,9999-12-31,TRUE
82,28,Johnson-Carlson,INDIA,ASIA,D,9.31,TRUE,2023-01-01,2024-01-01,FALSE
83,28,Chandler-Edwards,BRAZIL,AMERICA,C,47.33,FALSE,2024-01-01,2024-12-31,FALSE
84,28,"Joyce, Wilson and Lam",CHINA,ASIA,B,70.29,TRUE,2024-12-31,9999-12-31,TRUE
85,29,Scott Ltd,INDONESIA,ASIA,B,11.96,FALSE,2023-01-01,2024-01-01,FALSE
86,29,Smith-Frost,PORTUGAL,EUROPE,B,48.42,FALSE,2024-01-01,2024-12-31,FALSE
87,29,"Mcdaniel, Bentley and Mclaughlin",MEXICO,AMERICA,B,10.05,TRUE,2024-12-31,9999-12-31,TRUE
88,30,Diaz Inc,INDONESIA,ASIA,A,53.41,TRUE,2023-01-01,2024-01-01,FALSE
89,30,"Mccall, Hanson and Alvarado",MEXICO,AMERICA,C,12.63,FALSE,2024-01-01,2024-12-31,FALSE
90,30,Cortez LLC,CHINA,ASIA,C,46.94,TRUE,2024-12-31,9999-12-31,TRUE
91,31,"Parker, Ortiz and Powell",VIETNAM,ASIA,E,47.77,FALSE,2023-01-01,2024-01-01,FALSE
92,31,Spencer-Lee,CHINA,ASIA,C,5.36,TRUE,2024-01-01,2024-12-31,FALSE
93,31,"Bentley, Byrd and Orr",CHINA,ASIA,E,11.85,FALSE,2024-12-31,9999-12-31,TRUE
94,32,"Carroll, Sullivan and Bass",INDIA,ASIA,B,52.26,TRUE,2023-01-01,2024-01-01,FALSE
95,32,Mitchell-Jordan,CHINA,ASIA,E,30.54,FALSE,2024-01-01,2024-12-31,FALSE
96,32,"Lawson, Morris and Ramos",INDIA,ASIA,E,20.78,TRUE,2024-12-31,9999-12-31,TRUE
97,33,"Lewis, Kennedy and Santana",INDIA,ASIA,B,7.51,TRUE,2023-01-01,2024-01-01,FALSE
98,33,"Jackson, Miller and Robertson",CHINA,ASIA,B,23.15,FALSE,2024-01-01,2024-12-31,FALSE
99,33,"Harvey, Davis and Crane",BRAZIL,AMERICA,C,92.39,FALSE,2024-12-31,9999-12-31,TRUE
100,34,Chambers and Sons,INDIA,ASIA,E,42.51,FALSE,2023-01-01,2024-01-01,FALSE
101,34,Hernandez Inc,INDIA,ASIA,D,7.14,TRUE,2024-01-01,2024-12-31,FALSE
102,34,Riggs PLC,INDONESIA,ASIA,C,28.86,TRUE,2024-12-31,9999-12-31,TRUE
103,35,Gibson Ltd,BRAZIL,AMERICA,E,50.05,TRUE,2023-01-01,2024-01-01,FALSE
104,35,"Lee, Horton and Snyder",VIETNAM,ASIA,C,32.23,TRUE,2024-01-01,2024-12-31,FALSE
105,35,Hernandez Ltd,VIETNAM,ASIA,D,57.52,FALSE,2024-12-31,9999-12-31,TRUE
106,36,Stafford Inc,MEXICO,AMERICA,B,4.02,FALSE,2023-01-01,2024-01-01,FALSE
107,36,Robinson-Brock,CHINA,ASIA,E,18.15,FALSE,2024-01-01,2024-12-31,FALSE
108,36,"Holmes, Williams and Wright",INDIA,ASIA,B,34.8,TRUE,2024-12-31,9999-12-31,TRUE
109,37,Bryant Group,INDIA,ASIA,B,69.37,TRUE,2023-01-01,2024-01-01,FALSE
110,37,"Schmidt, Hansen and Stewart",ETHIOPIA,AFRICA,C,45.48,TRUE,2024-01-01,2024-12-31,FALSE
111,37,Salazar-Ball,INDONESIA,ASIA,C,51.46,FALSE,2024-12-31,9999-12-31,TRUE
112,38,"Simmons, Meadows and Griffin",INDIA,ASIA,C,18.76,TRUE,2023-01-01,2024-01-01,FALSE
113,38,Manning Group,PORTUGAL,EUROPE,D,20.36,FALSE,2024-01-01,2024-12-31,FALSE
114,38,Green-Wright,SPAIN,EUROPE,C,12.14,FALSE,2024-12-31,9999-12-31,TRUE
115,39,"Ramirez, Strickland and Washington",INDIA,ASIA,B,55.08,FALSE,2023-01-01,2024-01-01,FALSE
116,39,Hill Inc,VIETNAM,ASIA,E,46.14,TRUE,2024-01-01,2024-12-31,FALSE
117,39,"Mitchell, Nelson and Flores",ITALY,EUROPE,C,50.89,TRUE,2024-12-31,9999-12-31,TRUE
118,40,"Miller, Hernandez and Reyes",ITALY,EUROPE,B,55.13,TRUE,2023-01-01,2024-01-01,FALSE
119,40,Mccarthy Inc,SPAIN,EUROPE,D,86.4,TRUE,2024-01-01,2024-12-31,FALSE
120,40,Russell-Daniels,PORTUGAL,EUROPE,E,50.77,FALSE,2024-12-31,9999-12-31,TRUE
121,41,Brown-Wall,INDONESIA,ASIA,C,99.89,TRUE,2023-01-01,2024-01-01,FALSE
122,41,Stein-Silva,VIETNAM,ASIA,B,55.19,FALSE,2024-01-01,2024-12-31,FALSE
123,41,"Smith, Gilmore and Johnston",CHINA,ASIA,B,69.75,FALSE,2024-12-31,9999-12-31,TRUE
124,42,Smith-Bell,INDONESIA,ASIA,A,74.47,FALSE,2023-01-01,2024-01-01,FALSE
125,42,Castaneda-Ashley,PORTUGAL,EUROPE,C,82.07,FALSE,2024-01-01,2024-12-31,FALSE
126,42,Medina-Navarro,CHINA,ASIA,C,59.02,FALSE,2024-12-31,9999-12-31,TRUE
127,43,"Hurst, Freeman and Nelson",ITALY,EUROPE,C,45.69,FALSE,2023-01-01,2024-01-01,FALSE
128,43,Johnson-Rogers,CHINA,ASIA,B,46.95,FALSE,2024-01-01,2024-12-31,FALSE
129,43,"Yates, Ramsey and Pittman",INDONESIA,ASIA,C,85.18,FALSE,2024-12-31,9999-12-31,TRUE
130,44,Hooper PLC,ITALY,EUROPE,B,71.87,FALSE,2023-01-01,2024-01-01,FALSE
131,44,Meadows PLC,ITALY,EUROPE,A,63.12,FALSE,2024-01-01,2024-12-31,FALSE
132,44,"Alvarado, Miller and Patterson",MEXICO,AMERICA,C,9.84,FALSE,2024-12-31,9999-12-31,TRUE
133,45,White-Green,ITALY,EUROPE,C,90.34,TRUE,2023-01-01,2024-01-01,FALSE
134,45,Lewis-Murphy,PORTUGAL,EUROPE,C,14.56,FALSE,2024-01-01,2024-12-31,FALSE
135,45,Ramirez-Bean,CHINA,ASIA,B,7.9,FALSE,2024-12-31,9999-12-31,TRUE
136,46,King-Miller,INDIA,ASIA,E,14.31,TRUE,2023-01-01,2024-01-01,FALSE
137,46,Curry Inc,INDONESIA,ASIA,A,80.46,FALSE,2024-01-01,2024-12-31,FALSE
138,46,Walker-Jones,INDIA,ASIA,C,34.56,FALSE,2024-12-31,9999-12-31,TRUE
139,47,"Williams, Johnson and Wright",INDIA,ASIA,B,84.53,TRUE,2023-01-01,2024-01-01,FALSE
140,47,Howell and Sons,INDONESIA,ASIA,B,57.19,FALSE,2024-01-01,2024-12-31,FALSE
141,47,Wells Inc,MEXICO,AMERICA,E,65.82,TRUE,2024-12-31,9999-12-31,TRUE
142,48,"Gould, Marshall and Scott",CHINA,ASIA,D,4.9,FALSE,2023-01-01,2024-01-01,FALSE
143,48,Jackson-Lawson,CHINA,ASIA,B,79.89,FALSE,2024-01-01,2024-12-31,FALSE
144,48,"Higgins, Strickland and Martin",INDONESIA,ASIA,C,67.78,FALSE,2024-12-31,9999-12-31,TRUE
145,49,Rodriguez-Johnson,INDIA,ASIA,C,90.34,FALSE,2023-01-01,2024-01-01,FALSE
146,49,Johnston-Odonnell,INDONESIA,ASIA,C,73.24,TRUE,2024-01-01,2024-12-31,FALSE
147,49,Sanders-Espinoza,INDONESIA,ASIA,B,13.22,FALSE,2024-12-31,9999-12-31,TRUE
148,50,Vargas Ltd,MEXICO,AMERICA,E,83.05,TRUE,2023-01-01,2024-01-01,FALSE
149,50,Garcia LLC,ITALY,EUROPE,D,74.66,TRUE,2024-01-01,2024-12-31,FALSE
150,50,"Burke, Martinez and Riggs",VIETNAM,ASIA,B,96.65,FALSE,2024-12-31,9999-12-31,TRUE
151,51,Reed Group,BRAZIL,AMERICA,E,80.46,TRUE,2023-01-01,2024-01-01,FALSE
152,51,"Wood, Hunter and Peterson",PORTUGAL,EUROPE,C,45.48,FALSE,2024-01-01,2024-12-31,FALSE
153,51,Short-Garcia,INDIA,ASIA,D,94.03,TRUE,2024-12-31,9999-12-31,TRUE
154,52,Reid-Poole,INDONESIA,ASIA,D,56.14,FALSE,2023-01-01,2024-01-01,FALSE
155,52,"Hernandez, Thompson and Boyd",INDONESIA,ASIA,D,90.94,TRUE,2024-01-01,2024-12-31,FALSE
156,52,"Nelson, Morton and Medina",CHINA,ASIA,E,30.44,TRUE,2024-12-31,9999-12-31,TRUE
157,53,Marshall-Petersen,VIETNAM,ASIA,B,45.36,FALSE,2023-01-01,2024-01-01,FALSE
158,53,"Adams, Christian and Rivas",BRAZIL,AMERICA,C,74.23,TRUE,2024-01-01,2024-12-31,FALSE
159,53,Ramirez Group,CHINA,ASIA,C,40.81,FALSE,2024-12-31,9999-12-31,TRUE
160,54,Christensen PLC,VIETNAM,ASIA,C,95.06,FALSE,2023-01-01,2024-01-01,FALSE
161,54,"Barnett, Rogers and Snyder",VIETNAM,ASIA,C,97.78,TRUE,2024-01-01,2024-12-31,FALSE
162,54,White-Lewis,CHINA,ASIA,B,84.8,TRUE,2024-12-31,9999-12-31,TRUE
163,55,Peterson-Beard,INDIA,ASIA,C,2.14,FALSE,2023-01-01,2024-01-01,FALSE
164,55,"Beard, Peters and Black",INDONESIA,ASIA,C,6.86,FALSE,2024-01-01,2024-12-31,FALSE
165,55,Miller Ltd,VIETNAM,ASIA,D,32.86,TRUE,2024-12-31,9999-12-31,TRUE
166,56,Freeman-Chang,SPAIN,EUROPE,D,14.47,TRUE,2023-01-01,2024-01-01,FALSE
167,56,"Alvarez, Joseph and West",INDONESIA,ASIA,C,2.58,TRUE,2024-01-01,2024-12-31,FALSE
168,56,Davis and Sons,PORTUGAL,EUROPE,B,17.42,TRUE,2024-12-31,9999-12-31,TRUE
169,57,Holt-Torres,BRAZIL,AMERICA,D,47.62,FALSE,2023-01-01,2024-01-01,FALSE
170,57,"Wood, Tran and Cooper",CHINA,ASIA,C,94.54,TRUE,2024-01-01,2024-12-31,FALSE
171,57,"Pierce, Bell and Chavez",PORTUGAL,EUROPE,C,45.8,FALSE,2024-12-31,9999-12-31,TRUE
172,58,King-Martinez,VIETNAM,ASIA,C,68.61,TRUE,2023-01-01,2024-01-01,FALSE
173,58,Stewart Ltd,SPAIN,EUROPE,A,60.83,TRUE,2024-01-01,2024-12-31,FALSE
174,58,"Tapia, Vaughn and Lee",INDONESIA,ASIA,C,32.52,FALSE,2024-12-31,9999-12-31,TRUE
175,59,"Washington, Hardy and Bray",CHINA,ASIA,C,9.92,FALSE,2023-01-01,2024-01-01,FALSE
176,59,"Carlson, Hooper and Wall",ITALY,EUROPE,D,72.08,TRUE,2024-01-01,2024-12-31,FALSE
177,59,Perez-White,CHINA,ASIA,B,45.35,TRUE,2024-12-31,9999-12-31,TRUE
178,60,Erickson and Sons,VIETNAM,ASIA,C,37.43,TRUE,2023-01-01,2024-01-01,FALSE
179,60,Williams-Brown,SPAIN,EUROPE,D,9.32,TRUE,2024-01-01,2024-12-31,FALSE
180,60,Terry-Martinez,BRAZIL,AMERICA,C,58.65,FALSE,2024-12-31,9999-12-31,TRUE
181,61,Garcia-Smith,INDONESIA,ASIA,B,66.53,FALSE,2023-01-01,2024-01-01,FALSE
182,61,Harrison-Alexander,ITALY,EUROPE,E,60.04,TRUE,2024-01-01,2024-12-31,FALSE
183,61,Sheppard LLC,INDIA,ASIA,C,22.42,TRUE,2024-12-31,9999-12-31,TRUE
184,62,Wilson-Jones,ITALY,EUROPE,D,57.41,FALSE,2023-01-01,2024-01-01,FALSE
185,62,Jones-Soto,ITALY,EUROPE,D,61.36,FALSE,2024-01-01,2024-12-31,FALSE
186,62,Hernandez PLC,VIETNAM,ASIA,D,26.74,TRUE,2024-12-31,9999-12-31,TRUE
187,63,Miller-Wright,BRAZIL,AMERICA,B,0.61,FALSE,2023-01-01,2024-01-01,FALSE
188,63,"Duran, Obrien and Gibbs",CHINA,ASIA,B,63.32,TRUE,2024-01-01,2024-12-31,FALSE
189,63,Rowe Group,BRAZIL,AMERICA,C,34.09,TRUE,2024-12-31,9999-12-31,TRUE
190,64,Kerr-Evans,BRAZIL,AMERICA,C,8.5,TRUE,2023-01-01,2024-01-01,FALSE
191,64,"Branch, Torres and Oliver",VIETNAM,ASIA,C,27.21,FALSE,2024-01-01,2024-12-31,FALSE
192,64,"Choi, Garcia and Farmer",CHINA,ASIA,B,75.49,TRUE,2024-12-31,9999-12-31,TRUE
193,65,"Clark, Guerrero and Moore",CHINA,ASIA,C,48.66,FALSE,2023-01-01,2024-01-01,FALSE
194,65,Arnold and Sons,VIETNAM,ASIA,C,0.77,TRUE,2024-01-01,2024-12-31,FALSE
195,65,Ortiz Ltd,VIETNAM,ASIA,B,32.81,TRUE,2024-12-31,9999-12-31,TRUE
196,66,"Harrison, Johnson and Roberts",BRAZIL,AMERICA,C,70.37,FALSE,2023-01-01,2024-01-01,FALSE
197,66,Warner-Gibson,ITALY,EUROPE,A,86.18,TRUE,2024-01-01,2024-12-31,FALSE
198,66,"Hall, Baker and Moody",VIETNAM,ASIA,D,57.58,FALSE,2024-12-31,9999-12-31,TRUE
199,67,"Guerrero, Peck and Coleman",BRAZIL,AMERICA,B,2.09,TRUE,2023-01-01,2024-01-01,FALSE
200,67,"Walker, Hernandez and Baker",PORTUGAL,EUROPE,D,91.98,TRUE,2024-01-01,2024-12-31,FALSE
201,67,Jones and Sons,ITALY,EUROPE,C,52.4,TRUE,2024-12-31,9999-12-31,TRUE
202,68,Larson-Holloway,INDONESIA,ASIA,B,16.81,FALSE,2023-01-01,2024-01-01,FALSE
203,68,Gonzales-Harrison,VIETNAM,ASIA,D,34.94,FALSE,2024-01-01,2024-12-31,FALSE
204,68,Lyons-Bender,PORTUGAL,EUROPE,B,14.64,TRUE,2024-12-31,9999-12-31,TRUE
205,69,"Fernandez, Kim and George",INDIA,ASIA,C,17.71,FALSE,2023-01-01,2024-01-01,FALSE
206,69,Navarro-Munoz,CHINA,ASIA,D,44.89,FALSE,2024-01-01,2024-12-31,FALSE
207,69,Davis Ltd,CHINA,ASIA,C,86.42,FALSE,2024-12-31,9999-12-31,TRUE
208,70,"Matthews, Smith and Hubbard",VIETNAM,ASIA,C,30.28,TRUE,2023-01-01,2024-01-01,FALSE
209,70,Johnston-Hines,VIETNAM,ASIA,B,45.19,TRUE,2024-01-01,2024-12-31,FALSE
210,70,Ruiz Ltd,ITALY,EUROPE,D,85.53,FALSE,2024-12-31,9999-12-31,TRUE
211,71,Moon-White,CHINA,ASIA,C,79.18,FALSE,2023-01-01,2024-01-01,FALSE
212,71,"Graham, Olsen and Costa",CHINA,ASIA,C,32.15,TRUE,2024-01-01,2024-12-31,FALSE
213,71,Bailey-Cook,VIETNAM,ASIA,B,89.91,TRUE,2024-12-31,9999-12-31,TRUE
214,72,"Garcia, Martin and Jenkins",BRAZIL,AMERICA,B,24.77,TRUE,2023-01-01,2024-01-01,FALSE
215,72,Roberts-Landry,CHINA,ASIA,B,37.29,TRUE,2024-01-01,2024-12-31,FALSE
216,72,"Johnson, Miller and King",CHINA,ASIA,C,78.92,FALSE,2024-12-31,9999-12-31,TRUE
217,73,Cordova Group,VIETNAM,ASIA,C,28.41,FALSE,2023-01-01,2024-01-01,FALSE
218,73,"Bryan, Smith and Booth",INDIA,ASIA,D,33.34,FALSE,2024-01-01,2024-12-31,FALSE
219,73,Gutierrez-Lopez,VIETNAM,ASIA,E,69.85,TRUE,2024-12-31,9999-12-31,TRUE
220,74,Dean-Jimenez,INDIA,ASIA,B,37.67,FALSE,2023-01-01,2024-01-01,FALSE
221,74,Wolf-Harris,PORTUGAL,EUROPE,D,73.88,FALSE,2024-01-01,2024-12-31,FALSE
222,74,"Anderson, Roberts and Gilmore",CHINA,ASIA,C,36.18,TRUE,2024-12-31,9999-12-31,TRUE
223,75,Martinez-Dudley,VIETNAM,ASIA,E,48.63,TRUE,2023-01-01,2024-01-01,FALSE
224,75,"Lloyd, Mckinney and Collins",VIETNAM,ASIA,D,10.11,FALSE,2024-01-01,2024-12-31,FALSE
225,75,Tran Inc,ITALY,EUROPE,A,33.68,FALSE,2024-12-31,9999-12-31,TRUE
226,76,Gay Inc,VIETNAM,ASIA,B,83.13,FALSE,2023-01-01,2024-01-01,FALSE
227,76,Valentine-Holland,PORTUGAL,EUROPE,C,41.09,FALSE,2024-01-01,2024-12-31,FALSE
228,76,Jimenez Ltd,INDONESIA,ASIA,B,74.85,TRUE,2024-12-31,9999-12-31,TRUE
229,77,Hicks-Hill,CHINA,ASIA,D,46.9,FALSE,2023-01-01,2024-01-01,FALSE
230,77,Baird-Sanchez,INDONESIA,ASIA,E,46.17,TRUE,2024-01-01,2024-12-31,FALSE
231,77,"Thomas, Lee and Greene",INDONESIA,ASIA,E,81.69,FALSE,2024-12-31,9999-12-31,TRUE
232,78,"Suarez, Shields and Hill",VIETNAM,ASIA,C,87.41,FALSE,2023-01-01,2024-01-01,FALSE
233,78,Morgan-French,VIETNAM,ASIA,D,28.51,FALSE,2024-01-01,2024-12-31,FALSE
234,78,Hoover-Campbell,INDONESIA,ASIA,B,43.75,FALSE,2024-12-31,9999-12-31,TRUE
235,79,Monroe-Carpenter,INDONESIA,ASIA,B,2.67,TRUE,2023-01-01,2024-01-01,FALSE
236,79,"Burns, Hernandez and Ryan",CHINA,ASIA,E,37.49,TRUE,2024-01-01,2024-12-31,FALSE
237,79,Cook-Hines,ETHIOPIA,AFRICA,C,79.14,TRUE,2024-12-31,9999-12-31,TRUE
238,80,Gibson-Morris,INDONESIA,ASIA,C,13.88,FALSE,2023-01-01,2024-01-01,FALSE
239,80,Pollard and Sons,CHINA,ASIA,A,25.59,FALSE,2024-01-01,2024-12-31,FALSE
240,80,"Reyes, Chase and Jenkins",CHINA,ASIA,C,11.12,TRUE,2024-12-31,9999-12-31,TRUE
241,81,Garner-Thornton,INDONESIA,ASIA,C,79.39,TRUE,2023-01-01,2024-01-01,FALSE
242,81,Hughes-Alvarado,VIETNAM,ASIA,C,1.64,FALSE,2024-01-01,2024-12-31,FALSE
243,81,"Pollard, Simpson and Johnson",INDONESIA,ASIA,C,61.48,TRUE,2024-12-31,9999-12-31,TRUE
244,82,"Sanford, Rivera and Garcia",CHINA,ASIA,A,97.47,TRUE,2023-01-01,2024-01-01,FALSE
245,82,Garcia-Lozano,CHINA,ASIA,E,55.42,TRUE,2024-01-01,2024-12-31,FALSE
246,82,Bowen Group,CHINA,ASIA,E,25.37,TRUE,2024-12-31,9999-12-31,TRUE
