id,name,country,region,sustainability_rating,renewable_energy_pct,zero_waste_certified
156,"Nelson, Morton and Medina",CHINA,ASIA,E,30.44,TRUE
159,Ramirez Group,CHINA,ASIA,C,40.81,FALSE
162,White-Lewis,CHINA,ASIA,B,84.8,TRUE
165,Miller Ltd,VIETNAM,ASIA,D,32.86,TRUE
168,Davis and Sons,PORTUGAL,EUROPE,B,17.42,TRUE
171,"Pierce, Bell and Chavez",PORTUGAL,EUROPE,C,45.8,FALSE
174,"Tapia, Vaughn and Lee",INDONESIA,ASIA,C,32.52,FALSE
177,Perez-White,CHINA,ASIA,B,45.35,TRUE
180,Terry-Martinez,BRAZIL,AMERICA,C,58.65,FALSE
183,Sheppard LLC,INDIA,ASIA,C,22.42,TRUE
186,Hernandez PLC,VIETNAM,ASIA,D,26.74,TRUE
189,Rowe Group,BRAZIL,AMERICA,C,34.09,TRUE
192,"Choi, Garcia and Farmer",CHINA,ASIA,B,75.49,TRUE
195,Ortiz Ltd,VIETNAM,ASIA,B,32.81,TRUE
198,"Hall, Baker and Moody",VIETNAM,ASIA,D,57.58,FALSE
201,Jones and Sons,ITALY,EUROPE,C,52.4,TRUE
204,Lyons-Bender,PORTUGAL,EUROPE,B,14.64,TRUE
207,Davis Ltd,CHINA,ASIA,C,86.42,FALSE
210,Ruiz Ltd,ITALY,EUROPE,D,85.53,FALSE
213,Bailey-Cook,VIETNAM,ASIA,B,89.91,TRUE
216,"Johnson, Miller and King",CHINA,ASIA,C,78.92,FALSE
219,Gutierrez-Lopez,VIETNAM,ASIA,E,69.85,TRUE
222,"Anderson, Roberts and Gilmore",CHINA,ASIA,C,36.18,TRUE
225,Tran Inc,ITALY,EUROPE,A,33.68,FALSE
228,Jimenez Ltd,INDONESIA,ASIA,B,74.85,TRUE
231,"Thomas, Lee and Greene",INDONESIA,ASIA,E,81.69,FALSE
234,Hoover-Campbell,INDONESIA,ASIA,B,43.75,FALSE
237,Cook-Hines,ETHIOPIA,AFRICA,C,79.14,TRUE
240,"Reyes, Chase and Jenkins",CHINA,ASIA,C,11.12,TRUE
243,"Pollard, Simpson and Johnson",INDONESIA,ASIA,C,61.48,TRUE
246,Bowen Group,CHINA,ASIA,E,25.37,TRUE
249,"Miller, Murphy and Craig",VIETNAM,ASIA,C,69.54,FALSE
252,Young Ltd,MEXICO,AMERICA,B,75.33,TRUE
255,"Brennan, Wallace and Benson",MEXICO,AMERICA,C,92.43,FALSE
258,Schmidt PLC,INDIA,ASIA,C,35.15,TRUE
261,"Thomas, Murray and King",BRAZIL,AMERICA,B,60.76,FALSE
264,Jones LLC,PORTUGAL,EUROPE,C,39.8,FALSE
267,Castaneda-Rodriguez,INDONESIA,ASIA,C,12.26,FALSE
270,Smith-Grimes,ITALY,EUROPE,C,92.73,FALSE
273,Robinson-Lee,CHINA,ASIA,A,30.93,FALSE
276,"Lucas, Parker and Alexander",ITALY,EUROPE,C,18.2,FALSE
279,Buchanan LLC,SPAIN,EUROPE,B,63.51,FALSE
282,Brock-Mcdonald,ITALY,EUROPE,D,2.84,TRUE
285,"Diaz, Gibbs and Smith",CHINA,ASIA,C,29.74,TRUE
288,Rodriguez-Hall,VIETNAM,ASIA,C,31.91,TRUE
291,Reid Group,INDIA,ASIA,D,49.83,FALSE
294,Davis PLC,ITALY,EUROPE,C,53.67,FALSE
297,"Newton, Moore and Perry",CHINA,ASIA,B,98.91,FALSE
300,"Wood, Ramos and Sampson",VIETNAM,ASIA,B,47.37,TRUE
303,Lopez-Martinez,CHINA,ASIA,B,81.57,TRUE
306,Zhang PLC,PORTUGAL,EUROPE,C,58.35,TRUE
309,Schroeder-Kramer,VIETNAM,ASIA,C,77.5,FALSE
312,Guerrero Inc,SPAIN,EUROPE,B,77.2,FALSE
315,"Fisher, Wilson and Brown",VIETNAM,ASIA,B,34.88,FALSE
318,"Williams, Logan and Camacho",INDONESIA,ASIA,B,44.24,TRUE
321,Henry Group,CHINA,ASIA,A,41.33,FALSE
324,"Kelley, Nguyen and Vang",ETHIOPIA,AFRICA,C,90.79,TRUE
327,"Le, Lewis and Hayes",CHINA,ASIA,E,96.21,FALSE
330,Edwards-Scott,ITALY,EUROPE,B,11.26,TRUE
333,Reynolds Ltd,ITALY,EUROPE,A,66.93,TRUE
336,"Pugh, Henderson and Moon",INDIA,ASIA,A,11.82,TRUE
339,Moore Group,VIETNAM,ASIA,D,60.57,TRUE
342,Bruce-Villegas,BRAZIL,AMERICA,C,6.18,FALSE
345,"Farmer, Dorsey and Bell",PORTUGAL,EUROPE,C,45.68,TRUE
348,Davis PLC,MEXICO,AMERICA,A,93.38,TRUE
351,Frank-Bradley,INDONESIA,ASIA,C,53.93,FALSE
354,"Miller, Ramos and Coleman",CHINA,ASIA,D,24.75,TRUE
357,Gregory-Watkins,VIETNAM,ASIA,C,70.33,TRUE
360,Duran LLC,INDONESIA,ASIA,C,32.07,TRUE
363,"Hall, Hansen and Barnett",CHINA,ASIA,E,67.13,FALSE
366,Atkins PLC,SPAIN,EUROPE,E,55.73,TRUE
369,Jackson-Meza,INDIA,ASIA,B,76.17,FALSE
372,Graham Group,CHINA,ASIA,C,20.45,FALSE
375,Dixon Inc,CHINA,ASIA,E,37.07,TRUE
378,Thomas and Sons,ITALY,EUROPE,C,68.48,TRUE
381,Marshall-Elliott,CHINA,ASIA,A,3.38,FALSE
384,Hernandez-Jones,INDIA,ASIA,C,48.32,TRUE
387,Johnson-Wood,SPAIN,EUROPE,B,14.89,TRUE
390,Ford-Spencer,ITALY,EUROPE,D,75.96,TRUE
393,Hayes LLC,VIETNAM,ASIA,A,21.14,FALSE
396,Cox LLC,ETHIOPIA,AFRICA,D,71.27,TRUE
399,Davis-Gregory,BRAZIL,AMERICA,E,5.37,TRUE
402,Rangel LLC,INDONESIA,ASIA,C,67.97,FALSE
405,"Conner, Li and Santiago",VIETNAM,ASIA,B,35.99,TRUE
408,Bean LLC,INDONESIA,ASIA,C,8.47,FALSE
411,"Wise, Conley and Stephenson",CHINA,ASIA,A,25.17,TRUE
414,White Ltd,INDONESIA,ASIA,D,97.42,TRUE
417,Bishop-Goodwin,INDONESIA,ASIA,D,39.29,TRUE
420,"Valentine, Joyce and Murray",BRAZIL,AMERICA,D,40.91,TRUE
423,"Taylor, Wright and Davidson",SPAIN,EUROPE,C,79.07,TRUE
426,Cole-Palmer,INDIA,ASIA,D,96.57,TRUE
429,Brown-Shaw,CHINA,ASIA,A,10.45,TRUE
432,Combs Ltd,BRAZIL,AMERICA,B,81.02,TRUE
435,Blake Group,INDONESIA,ASIA,B,64.05,TRUE
438,"Bentley, Lynch and Henderson",VIETNAM,ASIA,B,32.6,TRUE
441,Brown-Copeland,PORTUGAL,EUROPE,B,61.45,TRUE
444,Mendez and Sons,INDIA,ASIA,C,99.99,FALSE
447,"Hartman, Romero and Smith",CHINA,ASIA,C,41.56,FALSE
450,Cooper Ltd,PORTUGAL,EUROPE,B,11.42,FALSE
